// race-specific variables (must start with _)
_empire                           | 人類同盟, 地球人同盟, 泰拉同盟, 原人同盟, 智人同盟
MAIN_ADVISOR_COUNCIL_RESISTED     | 看看這些愚蠢的叛軍！我們被民主地選舉爲這個宇宙的領導者，而他們卻希望發動一場戰爭？那就讓他們求仁得仁吧。

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 您周密的計劃徹底失敗了。#你的種族克服了種種困難，有外部世界的困難，也有自身創造的困境。但在宇宙的深空中，你的種族碰到了一個沒有任何希望戰勝的對手。即使人類在這個共同的敵人面前團結一致，人類的力量和智慧也在各個維度上被超越了。人類，一個擅長創造強大外交關係的帝國，輸給了一個無法通過外交去對付的對手。#不會再有地球人的夢想，不會再有書籍、藝術和音樂。人類那曾經在宇宙中迴響的充滿希望的歌聲變成了輕聲細語，這些微弱的聲音變成了一曲輓歌，而後便是永恆的沉默……
GAME_OVER_MILITARY_WIN2           | 您的計劃成功了。祝賀您，執政官！#您多年的準備和周密的規劃收穫了勝利的果實。只有傑出的外交家能夠在與這麼多帝國保持友好關係的同時把敵人各個擊破。只有優秀的戰略家能夠帶領我們的軍隊擊敗如此強大的敵人。毫無疑問，曾經被您的巧舌如簧說服成爲盟友的帝國會在他們一息尚存之時詛咒您的背叛。如今他們只是歷史書上的一頁了，而這還依賴於您的允許。#很快我們將會舉行一個人類歷史上從未見過的盛大的慶典。人類第一次擡頭仰望星空的時，一定懷疑過自己是否是宇宙中唯一的智慧生物。百萬年之後的今天，這個問題終於有了確鑿無疑的答案。
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 您周密的計劃成功了！#只有傻瓜會認爲一個帝國的領導者可以不依靠盟友就實現永久的和平。毫無疑問，你不是個傻瓜，不像那些想把你從銀河系消滅的人。在你最困難的時候，不是你的力量也不是你的狡詐，而是你強大的友誼拯救了你。如今，你的敵人在陰間體會着失敗的苦澀，而你和你的盟友將會永久地享受甜蜜的勝利果實。#這場戰鬥、這次勝利與最終的和平，將給我們的後人帶來啓迪。他們會知道，盟友比致命的武器更強大。放鬆吧，執政官，享受你的勝利果實，你的人民也將永遠地享受和平……

GAME_OVER_COUNCIL_LOSS2           | 您周密的計劃失敗了！#這本該是你加冕的時刻：一場決定性的外交勝利將會確保你在宇宙的地位高於其他帝國。然後，你的希望在最後時刻破滅了。新共和國的篡奪者手下的外交官比你的外交官更有說服力和魅力。毫無疑問，你爲建立外交聯盟而投入的精力將會反噬你：因爲宇宙的新統治者將說服大家他纔是真正的盟友，而你的說辭只是爲了滿足一己私利而吐出的花言巧語。#你的外交目標將從實現自己的理想變成種族的生存。一步走錯，你的人民就會陷入背水一戰。執政者，小心了，哪怕最小和最不起眼的徵兆都可能成爲帝國的終結……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 您周密的計劃讓人類得以生存。#也許不同的決策會讓你，而不是你的盟友，成爲新帝國的首領。但誰也無法否認，你優秀的政治技巧把你放在了一個能夠選擇的位置。因爲你與[leader_race]牢不可破的盟友關係，沒有人膽敢侵犯你。你見識了%8及其力量。作爲新共和國霸主的心腹，你有能力保證自己人民的需求得到滿足，不管代價如何。#從結果來看，生存本身即是一種勝利。無論如何，你的人民都將能夠在未知的未來中保證生存。成爲宇宙的霸主固然是好的，但執政官啊，也許能夠向宇宙霸主進言也會帶來不錯的回報……

GAME_OVER_REBELLION_LOSS2         | 您周密的計劃失敗了。#人類從內心深處有着反抗壓迫的衝動，這可能是一種力量，也可能是一種錯誤。這種衝動成爲了人類覆滅的原因。在人類競選新共和國領導的努力失敗之後，這一切也許就註定了。[leader_race]種族的理念與人類對未來的想象完全不符合。而它們又是太過於強大的敵人，堅韌如人類也無法打敗。有很多的“如果“值得思考，但除了沉默我們不會再得到回答了。#隨着%8控制了宇宙，人類同盟的最後抵抗被瓦解，人類帝國歸於塵土。在最後時刻，你的人民做出了值得銘記的抗爭：他們毫無疑問地知道，成爲歷史的幽靈已經是他們最好的選擇……
GAME_OVER_REBELLION_WIN2          | 您周密的計劃成功了。#有人認爲你只是個擅長外交談判的溫順的領導者，這些人活着看到了他們後悔的那一天。即使你同意外交協商是通往和平的正確道路，你也清楚地知道宇宙需要人類作爲領導者，來引導它走向可能的未來。那些沒有給你投票的人可以跟着新共和國的灰燼一起下葬了：沒有人能夠否定人類在宇宙中的地位！#你勇敢而果斷的行動不僅消滅了其他帝國，還讓另外兩個恐懼你能力的執政官將權柄拱手相讓。[player_name]，請作爲皇帝登上你的寶座，並大膽將宇宙帶向只有你能實現的未來吧！

GAME_OVER_REBEL_ALLIANCE_WIN2     | 您周密的計劃成功了#“只要人類的意志被忽略，就不可能有真正的和平”，當宇宙委員會背叛你時，這是你向他們說的話，這也是最終勝利到來時，你向你的人民和盟友所重複的話。年復一年的辛苦的外交努力並沒有帶來期望的結果，但這些努力並沒有完全浪費。如今，在你即將登上王座之時，你知道那些在反叛戰爭中敢於加入你的盟友沒有理由再反對你登基。#與居住在其他星球的外星生命建立親密關係是一件好事，他們幫助你消滅了叛逆的新共和國。你會保證他們是未來共和國創建的一份子，他們也會獲取相應的回報。新共和國已經消失了，執政官：現在即將存在的是你的大共和國！享受未來的挑戰和回報吧，這些是你應得的。

GAME_OVER_COUNCIL_WIN2            | 你周密的計劃成功了。#那麼多年後，棋子們都去到了計劃中的位置上，你的詭計結出了果實。在如此多樣和分散的文明之間建立統一，需要前無古人的外交技巧。你的策略有過挫折，也有過重新調整，但你現在終於成爲了新共和國的首領，你的腦海中不再有需要擔心的事情。沒有人膽敢叛變，宇宙的未來在你的掌握中。你只需要把任務交給你的支持者們，他們會保證完成。#你會被寫入歷史書，不只以新共和國首任領袖的身份，還作爲一個傳奇的外交家，你的魅力和能力足以讓相互仇恨的文明放下成見，一起建立一個穩固的聯盟。數代以後，共和國大學的研究者們會把你當作研究對象，他們會嫉妒你所生活的這個時代，他們會夢想自己能夠看到傳說背後偉人的真容……

GAME_OVER_COUNCIL_MILITARY_WIN2   | 您周密的計劃終於成功了。#新共和國是你的了，執政官。你被人認爲是足智多謀的外交家和公正的領袖，你的陰謀詭計幫助你成爲了宇宙未來的主導者。叛軍在你登上王座之際宣佈起義，這讓人們感到震驚，但叛軍之外的宇宙都站你這邊，他們驕傲地宣稱願意爲你而死。儘管許多勇者獻出了他們的生命，但新共和國仍然擊敗叛軍，獲得了最終的勝利。#如今你的和平年代要開始了。儘管未來還有很多工作要做，但沒人能否認你的成就將在歷史中扮演最重要的角色，前無古人，且後無來者。請爲你的成就感到驕傲吧。各個文明擁有着不同的哲學，能夠激發出他們忠誠的你，是了不起的。趁此機會，好好休息吧，執政官，因爲你的外交技巧肯定會在不遠的未來迎來新的挑戰……

GAME_OVER_COUNCIL_MILITARY_LOSS2  | 您周密的計劃被永遠的挫敗了。#作爲新共和國的領導，你犯了很多錯誤：你高估了盟友，也低估了敵人，很難說哪一點更爲致命。叛軍的存在並不讓人意外：總會有人不惜一切代價拒絕變化的發生，不管這種變化以何種形式存在。讓人驚訝的是，叛軍以如此快的速度席捲了宇宙。人數和實力都處於劣勢的你，只能等待不可避免的失敗。#叛軍勝利了，執政官和盟友會隨着新共和國一起毀滅。戰爭的戰利品將屬於反叛軍，他們將會決定從今天開始宇宙將往什麼方向改變。如果你能被以任何方式記住的話，那就是你不光彩的戰敗了。如果你能征善戰，也許宇宙能夠維持和平、不會經歷這場全面的戰爭……

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 擅長外交的人類
GAME_OVER_REBELLION_LOSS3         | 滿腦子陰謀詭計的人類
