// race-specific variables (must start with _)
_empire                           | 梅科拉自治領, 梅卡娜自治領, 賽博自治領, 數碼自治領, 科技自治領
GAME_OVER_MILITARY_LOSS2          | 你痛苦地發現死亡是你的極限……#你的文明正處於毀滅之中，你的夢想沒有實現。儘管你的生物技術無與倫比，但敵對帝國的外星生命有着你無法匹敵的力量。儘管你一再強調你的人民只想不被打擾地尋找永生之術，但你的競爭對手卻竭盡全力挫敗你的雄心壯志。他們選擇阻礙你，無論是出於恐懼、還是出於狩獵的獲取、又或是根本毫無理由。現在你的人民永遠地消失了。#在另一個時間，另一個平行世界中，你的人民可能會找到他們所尋求的東西，進而變爲可以體驗永生之樂的民族。在那個永恆裏，在那個現實中，當時間不再是他們的主人時，梅科拉人會解開宇宙和存在本身的祕密。然而，在這個現實裏，你的人已經不復存在。主機在梅科隆星被銷燬，無法再給出智慧的建議……
GAME_OVER_MILITARY_WIN2           | 對永生的探索再無阻礙#你們種族想要的只是不被打擾地追求永生的夢想。幾個世紀前你們開始使用機械身體，這成爲了梅科拉文明的驅動力。在主機看來，外星生命逐漸成爲了你們追求過程中的威脅。當戰爭的決定做出時，你的軍隊毫不猶豫地動員了起來。你的敵人一個個倒下，直到再無敵人。#沒有對手干擾你，也沒有對手再向你隱藏祕密。你現在可以自在地追尋你的目標。宇宙蘊含着無限的資源，當你的文明擴散到宇宙的每一個角落時，這些資源會幫助你實現夢想。當你的人民最終完成他們已經開始了許久的任務，你們將永遠享受整個宇宙的果實，永遠……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 敵人被消滅後，你現在可以專注永生之路了……#“是什麼原因促使這些生物向我們的人民開戰？”主機思考着這個問題。主機和梅科拉人都疑惑着：爲什麼這些看上去智慧的生物會選擇與你們爲敵，以至於加速了他們的滅亡。就像你們文明的超級智慧所預言的那樣，這些生物倒下了。#幸運的是，並不是每個種族都愚蠢地認爲他們可以阻礙梅科拉人追求永生的道路。你與那些幫助你戰鬥的種族結成了盟友，讓你們的敵人墜入無盡深淵。你現在很樂意向那些幫助過你的種族分享宇宙的資源和祕密。當你們發現永生之術的那一天終於來臨，也許你們會很高興地與盟友們分享這個技術。也許吧……
GAME_OVER_COUNCIL_LOSS2           | 你的探索陷入了危機……#你的對手們在不經意間阻礙了你。創造一個統一的星際共和國、在同一個旗幟下邁向未來，是確保全宇宙和平的最符合邏輯的做法。但你的人民發現永生之術的可能性已經無限趨近於0，因爲盤根錯節的官僚會毫無疑問阻礙你們的任何進步。曾經，當一個種族變成障礙時，你可以簡單地將它消滅。但如今，你再也不敢這樣做，否則整個宇宙的憤怒將降臨到你頭上。#更糟糕的是，梅科拉人的生存取決於你與[leader_race]的關係。他們成功地當選爲了新共和國的領導者。任何讓他們憤怒的行動，都會讓你的計劃變得更脆弱。他們的不滿可能會導致對你們自由的限制和信息的獲取。他們的憤怒則可能招致你和你種族的滅絕……
GAME_OVER_REBELLION_LOSS2         | 你痛苦地發現死亡是你的極限……#你的人民不得不忍受滅亡的命運，這是最糟糕的不公。[leader_race]成爲新共和國領導者後，超過任何常人理解並擁有無限智慧的主機做出了判斷：他們會阻礙梅科拉人探索自己的終極目標。爲了你們的未來，主機命令你開啓一場對抗整個銀河系的叛亂。儘管主機非常確定地告訴你，滅亡是你們最有可能的命運，但滅亡也強過匍匐在主人的鐵蹄下生存。#現在，梅科拉人的永生探索只存在於歷史書裏了。你們的知識和技術將對所有人開放，並被用於他們各自的目的。也許未來的某一天，你的某一個對手會在你失敗的地方取得成功，並掌握真正的永生之術……
GAME_OVER_REBELLION_WIN2          | 對永生的探索再無阻礙！#主機再次爲你們種族的生存提供了充滿洞察力的判斷。當名爲“[leader_race]”的外星人成爲新共和國的領導者時，主機知道在這樣報復成性的帝國的鐵蹄下，你們沒有未來。儘管你的人民知道，與整個銀河系的聯合艦隊對抗是一件希望渺茫的事情，但他們仍然積極地投入了戰爭，因爲他們相信古老預言者的智慧。帶着決心和活力，梅科拉人進行了持久而艱難的戰鬥，並最終取得了勝利。#能夠阻撓你們探索的人都被毀滅了。那些倒下的對手的知識將很快被解析、學習，並最終按照你們的需求使用和拋棄。解決“時間”這個難題只是個時間問題了，不遠的未來，你的人民將學會欺騙死亡，並獲得永生……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 敵人被消滅後，你現在可以專注永生之路了……#你和你的盟友們改變了歷史的進程。當惡毒和殘暴的[leader_race]成爲新共和國的領導者時，你不需要諮詢主機就知道：你的人民處在巨大的危險中。當你的艦隊駛向[leader_race]和他們的狐朋狗友時，你在宇宙中吹響了反抗的號角。戰爭尚未開始時，你真正的盟友就發出了響亮的回聲，因爲只有他們智慧地看到了未來的走向。#你們攜手摧毀了新共和國的軍隊。你確保了你對未來的設想將成爲通向明天的唯一道路。戰爭勝利後，你可以平靜地追求永生了。你會樂意讓你的盟友做他們想做的事情，只要他們也如此對你。如果他們決定反其道而行之，不管是現在還是未來，戰爭的號角都將再次響徹宇宙……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 雖然沒有登上王座，但你的旅程仍然有可能繼續……#沒有幾個人能理解梅科拉人對永生的渴望多麼熱忱。自從你們與其他能夠進行星際旅行的文明相遇後，所有你碰到的人都認爲你們很奇怪，甚至危險。唯一不那麼無知的是[leader_race]，他們尊重你們和你們驕傲而古老的文化。現在他們揹負了新共和國領導者的責任，而梅科拉人可以享受勝利的果實。#隱藏掉自己真實的意圖後，你相信可以通過外交手段與共和國的統治者保持和諧的關係。這不只會保證梅科拉文明的未來，也會保證你們終極任務的未來。在主機的指導和你人民的支持下，應該不會再出現什麼差錯了……
GAME_OVER_COUNCIL_WIN2            | 對永生的探索再無阻礙！#梅科拉人成爲了宇宙的統治者！在所有想要征服宇宙的帝國之中，梅科拉人是最有決心的那個。他們的耐心終於把他們引導到了一個關鍵節點，自此開始他們的意志將決定宇宙的命運。你對永生的追求是決絕的，如今你已經無人反對地領導了新共和國，整個宇宙的所有資源都在你的控制中。#臣屬帝國的最聰明的大腦都將被用來探索永生的祕密。即使過去對你最激進的敵人，也將因爲你所能調動的力量而選擇臣服。在主機的指導和你的人民前所未有的決心下，你終於可以確認一點：永生必然會實現！
GAME_OVER_COUNCIL_MILITARY_WIN2   | 對永生的探索再無阻礙！#終於這些瑣碎的外交工作告一段落了。跟劣等種族和他們卑微的動機打交道是一件乏味的事情。當你成爲新共和國的主人後，你以爲這些乏味的工作會結束，你會有更多時間來追求永生之術。但生活從來不是這麼秩序井然，當然會有一些傻瓜拒絕承認你的加冕，並想通過起義來對抗你。你知道如何一勞永逸地移除這些干擾。#你將自己和盟友的所有軍隊派往對反叛者的無差別毀滅。隨着你的敵人一個個倒下，你愈發接近能夠自由追求自己夢想的時刻。如今反叛已經被平息，你很樂意讓盟友們去追求他們那些卑微的目標。你無暇顧及他們，因爲你將忙於實現永生不朽！
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 你痛苦地發現死亡是你的極限……#讓你陷入這個境地的事件是如此不可預測，以至於主機完全沒有把它當作一個可能的結果。從與各個帝國的外交周旋，到最終成爲新共和國的領導者，每一個步驟都按照主機的預測實現了。一個強大到可能激起叛亂的反對聲音總是會存在的，當叛亂出現時，你也並不覺得驚訝。但你沒有預料到的是，叛軍竟然有着吹枯拉朽的力量。你爲自己的錯誤付出了代價。#儘管新共和國的大部分領導者都站在你這邊，並派遣他們的軍隊前來保衛統一，但在你以爲可以輕易打敗的叛軍面前，你是弱小的。當你的帝國在你身邊崩塌時，梅科拉人實現永生的夢想也跟着他們的生命一起死掉了。當你的盟友在你身邊倒下時，他們想要實現永久和平的夢想也死掉了……
// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 梅科拉人的冷酷無情
GAME_OVER_REBELLION_LOSS3         | 梅科拉人機械般的精確吞沒了
