// race-specific variables (must start with _)
_empire                           | 翼族王國, 翼人王國, 鳥族王國, 羽族王國, 禽族王國
GAME_OVER_COUNCIL_LOSS2           | 即使在最黑暗的時刻，您仍然保留了您的榮譽……#委員會中的傻瓜不知道他們做了什麼。星際委員會沒有給予應當屬於您的統治權，而是決定任命[leader_race]領袖爲新共和國的領袖。在不公平的談判和令人反感的權力鬥爭面前，您的懇求和細心、您的外交專長、以及您對榮譽和文明原則的堅定堅持，最終化爲烏有：您一無所有。#現在翼族必須爲[leader_race]的規則做好準備。您和您的外交官比任何人都更清楚這個新時代將是多麼的專制。而且您知道您將無力在不公面前發出您的聲音，因爲沒人敢面對新共和國的聯合艦隊。只有時間能告訴您的人民如何在這個黯淡的未來繼續生存。也許，當您離世以後，一個新的尖塔之王可能會坐上宇宙的王座……
GAME_OVER_REBELLION_LOSS2         | 即使在最黑暗的時刻，您仍然保留了您的榮譽……#悲傷在這一天勝利了，尖塔王。當您高舉旗幟反抗由[leader_race]控制的新共和國的暴政時，您對正義和正直的信念讓您堅定了對未來的決心。您希望有榮譽感的人能獲勝，因爲您知道沒有人比高貴的翼族人更堅持正義。但災難接踵而至，未來等待您的將是徹底的毀滅。#您族人的鬼魂肯定對您沒有惡意，他們和您一樣的想法。他們寧願選擇死亡，也不想生活在一個毫無榮譽感的宇宙。他們已經變成了鬼魂，尖塔王。當您文明的殘垣斷壁在您周圍燃燒時，您意識到您很快也會變成一個幽靈，即便如此，您仍然選擇堅決地面對命運…… 
GAME_OVER_REBELLION_WIN2          | 榮耀歸於尖塔之王！榮耀歸於王國！#您已經取得了最不可能的勝利！星際委員會首先否認了您應有的王權，然後嘲笑您認爲只有尖塔王才能公正地統治新共和國的觀點。您對手的聯合艦隊很快就興高采烈地把他們的武器轉向您，並投入他們認爲將會速戰速決的決戰。但他們沒有得到自己期望的勝利，你給他們帶來的是厄運和絕望！#現在這個星系就在您的腳下，沒有人敢於指責您的神聖統治權。您的人民免於生活在暴政的恐懼中，因爲您作爲領導者的能力贏得了他們永遠的信任和愛。去吧，尖塔王！將王國擴張到星系的每一個角落。當您佔領了所有在這裏等待您的星球時，就是時候將您的帝國擴展到其他乞求您統治的星系了！
GAME_OVER_REBEL_ALLIANCE_WIN2     | 榮耀歸於您和爲您而戰的人們！#您的人民對榮譽的堅定堅持，一直是它最大的力量。現在，幫助您的帝國免於毀滅的保證。當您開始反抗新共和國時，您遭到的只有組成這個新專制政權的人的嘲笑和蔑視。他們認爲自己聯合了起來對抗一個敵人，並且非常樂意參與將成爲最後一場戰爭的決戰。他們認爲他們會與一個孤軍奮戰的敵人作戰。他們錯了。#令他們驚訝的是，您並不是獨自發動戰爭。相反，您與朋友們站在一起，他們與您無懈可擊的勇氣和高貴產生共鳴。你們一起快速取得了勝利，您和盟友的旗幟很快在新共和國的世界中升起。現在剩下的就是共同享受勝利的戰利品了，享受來之不易的和平與繁榮的果實。您帝國的未來一片光明，尖塔王：您和您的人民理所應當地享有這一切！
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 榮譽和狡猾幫您獲得了勝利……#當您在宇宙中旅行時，您遇到了許多文明程度不同的種族。雖然他們粗魯和直率的天性最初冒犯了您的精緻感，但您在他們中的大多數人身上感受到了真正的個性。您知道您的職責是幫助這些相對落後的種族成爲更精緻的文明。隨着時間的推移，很明顯，他們永遠不會直接接受傲慢的您的做法。但是您，耐心而狡猾的尖塔王，看到了一條新的路線，能夠引導他們並塑造銀河系的未來，並以達到你的目的。#通過幫助培養[leader_race]文明並與他們的領導人結盟，您能夠幫助他們超越其他帝國的暴民，成爲新共和國的統治者。隨着這支的聯合力量變得更加強大，您將扮演新統治者的心腹角色，並幫助確保您的價值觀影響銀河系的統治。一旦讓這些人看到了光明，您所珍視的和平與高貴將最終實現。如果一切按照您的計劃進行，至少是有這個機會的……
GAME_OVER_COUNCIL_WIN2            | 榮耀歸於尖塔之王！榮耀歸於王國！#現在終於到了您最美好的時刻！舊時代終於結束，讓位於新的輝煌的未來！當新共和國的倡議第一次被帶到星際委員會會議廳時，大家就開始了激烈的討論，以決定誰最能領導這個光明的未來。但您，尖塔之王，您知道這是您生來就註定要完成的命運。#您的盟友熱情地宣稱您是唯一配得上這個職位的候選人。他們一再見證了您高貴的表現，您對榮譽的堅持，以及您一直表現出的正義感。最後，他們爲支持您的加冕而戰，現在您既是翼族王國的尖塔之王，又是新共和國的主人。您將獨自繪製這個宇宙將遵循的路線，您將獨自承擔引導它沿着這條道路前進的責任。唯一需要回答的問題是，最睿智和最高貴的領導人，您將帶領這個銀河系走向怎樣的未來？
GAME_OVER_COUNCIL_MILITARY_WIN2   | 榮耀歸於您和與您並肩作戰的人！#現在爲您服務的人將不會懷疑您的榮譽和統治這個星系的神聖權利！您登上新共和國的寶座是必然的：沒有其他統治者能比得上您所表現出的正義感和王者之氣，也沒有人能比得上您的人民對榮譽和真理的熱愛。當叛亂在光榮的加冕日後不久爆發時，震驚和難以置信的聲音傳遍了帝國的每個角落。您果斷地採取了作爲新共和國之主的第一個行動，並在這場叛亂破壞您的統治之前採取了行動來粉碎它。不用說，您最終取得了勝利。#以高超的狡猾和高貴的姿態，您帶領新共和國的聯合艦隊取得了一場又一場的勝利。隨着每場戰鬥的勝利和每一個世界的征服，您的聲望日隆，人民對您能力的信心也飆升到了高度，這鞏固了您的王位。叛亂現在只是遙遠的記憶。當您的盟友向您致以敬意並陶醉於這場共同的勝利中時，您將思緒轉向了未來：還有怎樣的奇蹟和榮耀等待着您和您的人民……
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 即使在最黑暗的時刻，您仍然保留了您的榮譽……#領導新共和國是翼族王國的最高成就。當叛亂的謠言剛開始傳出時，您認爲最好不要讓這種叛逆的思潮獲得皇室的迴應。但是隨着叛亂規模的擴大以及敵對帝國向您宣戰，您不得不考慮您之前的決定可能不是最明智的。事實證明，這導致您被野蠻人徹底打敗，您領導下的新共和國迅速而決定性地倒下了。#這是您從未想象過的恥辱。您作爲尖塔王的輝煌統治帶領您走向權力的頂峯，但現在它已經結束了，因爲您的敵人不僅在您的世界、而且在您盟友的世界上肆虐。如果您更加果斷，也許您和您的人民的故事會有不同的結局。唉，尖塔之王，您永遠不會知道會發生什麼……

// This text is the %8 variable in some of the game over text... when this race wins the game and the player loses
GAME_OVER_ALLIANCE_WIN3           | 翼族人的堅定榮譽
GAME_OVER_REBELLION_LOSS3         | 翼族人的勇猛吞噬了
