// race-specific variables (must start with _)
_empire                           | Κυψέλη Κλαδέι, Κυψέλη Κλάκον, Κυψέλη Κλάκμερ, Κυψέλη Κλοκαν, Κυψέλη Αρθρ, Κυψέλη Κολεόπτ
MAIN_ADVISOR_RESIST_COUNCIL       | Αδύνατο!  Ένα άλλο όν επιλέχτηκε για να κυριαρχήσει σε αυτούς τους κουραστικούς βλάκες, ενώ η σοφία μου παραμένει αγνοημένη! Όμως, δεν έχει σημασία: Θα τα σταματήσω αμέσως όλα αυτά!
MAIN_ADVISOR_COUNCIL_RESISTED     | Γιατί αυτοί οι ανόητοι εξακολουθούν να είναι τόσο δυσάρεστοι; Το συμβούλιο είναι δικό μου, ο γαλαξίας είναι δικός μου, και τώρα θα μάθουν τη θέση τους στην κυριαρχία μου!

MAIN_SCOUT_TITLE                  | Εξερεύνησα ένα νέο σύστημα αστεριών
MAIN_COLONIZE_TITLE               | Είμαι σε τροχιά γύρω από το σύστημα %1, ένα μη αποικισμένο σύστημα.
MAIN_COLONIZE_ANIMATION_TITLE     | Το έτος %1, σχηματίζω μια νέα αποικία.
MAIN_ALERT_SPY_CAPTURED           | Έχω συλλάβει έναν κατάσκοπο από τους [alien_empire], αναγκάζοντας τους να ομολογήσουν τις δραστηριότητές τους %2.
MAIN_ALERT_TRANSPORTS_KILLED      | Οι προσπάθειές μου να φτάσω στο σύστημα %2 σταμάτησαν από αμυντικές δυνάμεις των [alien_race].
MAIN_ALERT_INVADERS_KILLED        | Τα μεταγωγικά [alien_race]  που προσπαθούν να εισβάλουν στο σύστημα %2 έχουν καταστραφεί εντελώς από εμένα.
MAIN_BOMBARD_TITLE                | Είμαι σε τροχιά γύρω από μια αποικία [alien_race].

TECH_RESEARCH_COMPUTER            | Πρέπει να επιλέξω την επόμενη τεχνολογία υπολογιστών για να επικεντρωθώ.
TECH_RESEARCH_CONSTRUCTION        | Πρέπει να επιλέξω την επόμενη τεχνολογία κατασκευών για να επικεντρωθώ.
TECH_RESEARCH_FORCE_FIELD         | Πρέπει να επιλέξω την επόμενη τεχνολογία δυναμικών πεδίων για να επικεντρωθώ.
TECH_RESEARCH_PLANETOLOGY         | Πρέπει να επιλέξω την επόμενη τεχνολογία πλανητολογίας για να επικεντρωθώ.
TECH_RESEARCH_PROPULSION          | Πρέπει να επιλέξω την επόμενη τεχνολογία προώσης για να επικεντρωθώ.
TECH_RESEARCH_WEAPON              | Πρέπει να επιλέξω την επόμενη τεχνολογία οπλικών συστημάτων για να επικεντρωθώ.
TECH_DISCOVERY_TITLE              | Έχω επιτύχει μια σημαντική ανακάλυψη %1
TECH_SCOUTED_TITLE                | Εξερευνώντας τα ερείπια του %1, ανακαλύπτω μια νέα τεχνολογία
TECH_STOLEN_TITLE                 | Έχω διεισδύσει στο ερευνητικό κέντρο %1 στο σύστημα %2.
TECH_TRADED_TITLE                 | Απόκτησα τεχνολογία από Επιστήμονες των [alien_race] 
TECH_PLUNDERED_TITLE              | Κατά τη λεηλασία των ερειπίωνν του συστήματος %1, ανακαλύπτω μια νέα τεχνολογία
TECH_ALLOCATE_SHIELD              | Πρέπει να αυξήσω τις αμυντικές δαπάνες όλων των αποικιών μου για να φτιάξω τις νέες πλανητικές ασπίδες;
TECH_ALLOCATE_MISSILE_BASES       | Πρέπει να αυξήσω τις αμυντικές δαπάνες όλων των αποικιών μου για να αναβαθμίσω τις πυραυλικές βάσεις μου;
TECH_ALLOCATE_FACTORIES           | Πρέπει να αυξήσω τους δείκτες της βιομηχανίας όλων των αποικιών μου για να αναβαθμίσω τους εργοστασιακούς αυτοματισμούς μου;
TECH_ALLOCATE_CLEAN_WASTE         | Πρέπει να μειώσω τους οικολογικούς δείκτες όλων των αποικιών μου στο ελάχιστο ποσό που απαιτείται για να τα διατηρήσω καθαρό;
TECH_ALLOCATE_ENRICH_SOIL         | Πρέπει να αυξήσω τις οικολογικές αναλογίες δαπανών των αποικιών μου με τυπικά περιβάλλοντα για να ξεκινήσω να διαμορφώνω τους πλανήτες μου;
TECH_ALLOCATE_ATMOSPHERE          | Πρέπει να αυξήσω τις οικολογικές αναλογίες δαπανών των αποικιών μου με εχθρικά περιβάλλοντα για να ξεκινήσω να διαμορφώνω τους πλανήτες μου;
TECH_ALLOCATE_TERRAFORM           | Πρέπει να αυξήσω τις οικολογικές αναλογίες δαπανών όλων των αποικιών μου για να ξεκινήσω να διαμορφώνω τους πλανήτες μου;

NOTICE_ESPIONAGE_TITLE            | Έχω διεισδύσει σε μια βάση [alien_race].
NOTICE_ESPIONAGE_FRAME_TITLE      | Κατάφερα να ενοχοποιήσω μια άλλη φυλή για την κλοπή.

SHIP_COMBAT_TITLE_DESC            | Συναντώ έναν εχθρικό στόλο [alien_race].

SABOTAGE_FACTORIES_RESULT         | Κατέστρεψα %1 εργοστάσια.
SABOTAGE_BASES_RESULT             | Κατέστρεψα %1 πυραυλικές βάσεις.
SABOTAGE_REBELS_RESULT            | Προκάλεσα σε εξέγερση %1 επεναστάτες.
SABOTAGE_REBELS_TOTAL             | Προκάλεσα σε εξέγερση %1 επαναστάτες. Κοινωνική αναταραχή %2%.
SABOTAGE_REBELS_REVOLT            | Προξένησα επιτυχώς επανάσταση!

COUNCIL_CAST_PROMPT               | Πρέπει να επιλέξω (%1 votes)...

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Συναντήσατε με μια τρομερή μοίρα.#Στην αρχή του ταξιδιού σας στο άγνωστο, ανεβείτε στο διάστημα με την ελπίδα να βρείτε μια άλλη μορφή ζωής τόσο μοναδική όσο εσείς. Δυστυχώς, το όνειρό σας παρέμεινε ανεκπλήρωτο μέχρι την ημέρα που πεθάνατε. Όχι μόνο οι άλλες έξυπνες μορφές ζωής που βρήκατε αποδείχθηκαν εντελώς αντίθετες από εσάς, αλλά έδειξαν επίσης ότι είναι βίαιοι και χωρίς κατανόηση στην αναζήτησή σας. Αυτή η βία έγινε το σβήσιμο της ελπίδας σας, και όλοι οι κόσμοι σας είναι τώρα στα χέρια εκείνων που σας μισούσαν από τη στιγμή της πρώτης σας συνάντησης.#Κάθε σώμα σας βρίσκεται σπασμένο και άψυχο όπου σκοτώθηκε, από τον κόσμο σας μέχρι τις πιο απομακρυσμένες πρώην αποικίες σας. Καθώς το φως φεύγει από τα μάτια του τελευταίου σας θνητού σαρκίου, αντιλαμβάνεστε ότι το σύμπαν πρόκειται να χάσει την πιο μοναδική μορφή ζωής του για πάντα...
GAME_OVER_MILITARY_WIN2           | Η αναζήτησή σας έχει τελειώσει ... προς το παρόν.# Με μεγάλες ελπίδες τολμήσατε να ονειρευτείτε να βρείτε μια άλλη συνείδηση ​​σαν τη δική σας κάπου στα βάθη του χώρου. Αν και συναντήσατε πολλές άλλες μορφές υψηλότερης νοημοσύνης, έγινε πολύ προφανές ότι καμία από αυτές δεν ήταν παρόμοια με τη μοναδικότητα που έχετε μόνοι εσείς. Και το χειρότερο: φοβούμενοι ότι δεν κατάλαβαν, σας επιτέθηκαν, προκαλώντας μια φοβερή απάντηση από εσάς και τα αναρίθμητα σώματα που κατοικείτε. Με μια βαριά καρδιά τους σκοτώσατε όλους και με βαρύτερη βρίσκεστε τώρα ως η μόνη νοημοσύνη που κατοικεί σε αυτόν τον γαλαξία.#Ωστόσο, όλα δεν έχουν χαθεί. Αν και αυτές οι εξωγήινες φυλές με τις μοναδικές μορφές του εαυτού τους δεν ικανοποίησαν την αναζήτησή σας, συνειδητοποιείτε τώρα ότι υπάρχει ένα ολόκληρο σύμπαν εκεί έξω για εξερεύνηση. Το μόνο που μένει είναι να εξαπλωθείτε σε κάθε γωνιά αυτού του γαλαξία και να ξεκινήσετε την αναζήτησή σας ξανά...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Η αναζήτησή σας έχει τελειώσει...προς το παρόν.#Είστε γεμάτοι με θλίψη πέρα ​​από το μέτρο των πράξεων που αναγκαστήκατε να διαπράξετε. Ψάχνοντας για συντροφικότητα μεταξύ των πλανητών αυτού του γαλαξία, αντίθετα, έχετε συναντήσει αποκλειστικά ένα πλήθος από αδαείς πλάσματα που σας κυνήγησαν εξαιτίας του πόσο διαφορετικοί από αυτούς ήσασταν. Όταν τα λόγια τους μετατράπηκαν σε βίαιη δράση, τους χτύπησες για να υπερασπιστείς τον εαυτό σου και τα συμφέροντά σου, ελπίζοντας ότι θα έβλεπαν το λάθος των τρόπων τους και θα σε έβλεπαν ως μοναδική μορφή ζωής που είσαι. Οι ελπίδες σου τελικά εξαντλήθηκαν και όλοι όσοι σας συναντήσαν με βία έχουν σιωπήσει για πάντα.#Αλλά ευφράνσου, αρχαίε! Παρόλο που δεν καταφέρατε να βρείτε μια συνείδηση ​​παρόμοια με τη δική σας, καταφέρατε να κάνετε αξιόπιστους συμμάχους προτού τελειώσει το ταξίδι σας. Παράξενο να είσαι σίγουρος, τουλάχιστον σε θωρούν με την ίδια φιλία που νιώθεις για αυτούς. Εάν η λαχτάρα για να μάθετε αν είστε πραγματικά μοναδικοί στο σύμπαν επανέλθει, μπορείτε να ξεκινήσετε για άλλους γαλαξίες όποτε θέλετε. Αλλά προς το παρόν, μπορείτε να χαλαρώσετε και να απολαύσετε αυτήν την αίσθηση συντροφικότητας που έχετε βρει, και να απολαύσετε επίσης όλα τα οφέλη που αναμφίβολα θα αποφέρει.
GAME_OVER_COUNCIL_LOSS2           | Η αναζήτησή σας έχει τελειώσει ... προς το παρόν.#Αυτό δεν ήταν το τέλος που θέλατε στην αναζήτησή σας για συγγένεια μέσα από τη θάλασσα των αστεριών. Παρόλο που έχετε γνωρίσει πολλούς περίεργους και θαυμαστούς λαούς στην αναζήτησή σας, έχετε επίσης γνωρίσει πολλούς κακούς και κακότροπους πολιτισμούς. Δυστυχώς, το πιο ανυπόφορο που έχετε συναντήσει τώρα κάθεται ως Κυρίαρχος της Γαλαξιακής Δημοκρατίας. Αμφιβάλλετε ότι αυτός ο νέος ηγέτης θα είναι ευγενικός σε σας, και όλα τα αποδεικτικά στοιχεία που χρειάζεστε για αυτόν τον φόβο προέρχονται από προηγούμενες συναλλαγές που είχατε με αυτόν τον εξωγήινο ηγέτη.#Το μόνο που θελήσατε ήταν να βρείτε κάποιον πιο μοναδικό από εσάς. Τώρα  περιμένετε ανά πάσα στιγμή να σας πατήσει κάτω από τις φτέρνες της μια μεγαλύτερη δύναμη. Μπορείτε μόνο να προσεύχεστε η φυλή %5 να σας αφήσει σε ηρεμία, γιατί αν το επιλέξουν, ολόκληρη η δύναμη του γαλαξία θα εκστρατεύσει εναντίον σας...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Η αναζήτησή σας έχει τελειώσει... προς το παρόν.#Μια νέα εποχή για τους Κλαδέους πρόκειται να ξεκινήσει και οι έμπιστοι φίλοι σας, το %5, είναι τώρα έτοιμοι να οδηγήσουν τη Γαλαξιακή Δημοκρατία σε ένα λαμπρό μέλλον. Αν και σε αντίθεση με εσάς από πολλές απόψεις, οι φίλοι σου σε  θεωρούν ενδιαφέρον και συμπόνια και εμπιστεύεσαι σε αυτούς για να μπορέσεις να συνεχίσεις την αναζήτησή σου μόλις ολοκληρωθεί η εργασία σε αυτήν τη νέα συμμαχία. Θα χρειαστούν πολλά για να επιτύχει αρμονική συνύπαρξη τόσο διαφορετικών ειδών, αλλά γνωρίζετε ότι το %8 θα το φέρει εις πέρας.#Μπορείτε να αισθανθείτε μόνο μια αίσθηση ικανοποίησης σε αυτό το αποτέλεσμα. Ποτέ δεν νοιαζόσασταν πολύ για τις περιπλοκές των πολιτικών ελιγμών ούτως ή άλλως, και χαίρεστε που ο σύμμαχός σας θα πάρει ένα τέτοιο βάρος από τους ώμους σας για πάντα. Το μόνο που θέλατε ήταν να βρείτε μια ψυχή σαν τη δική σας κάπου σε αυτόν τον γαλαξία. Ίσως, μια μέρα, μπορέσετε...
GAME_OVER_REBELLION_LOSS2         | Συναντήσατε μια φοβερή μοίρα.#Ήσασταν μόνοι στην αρχή σας και στο τέλος είστε ακόμη μόνοι. Ανίκανος να πετύχετε τον τελικό στόχο της αναζήτησής σας, συρθήκατε από τη μια συνάντηση με έναν παράξενο πολιτισμό στον επόμενο μέχρι που όσοι είχαν περισσότερη αίσθηση της προοπτικής από εσάς συγκροτήθηκαν για να σχηματίσουν τη Γαλαξιακή Δημοκρατία. Αισθανόμενοι ότι η αναζήτησή σας θα έφτανε σε ένα πρόωρο τέλος καθώς το %5 ανέλαβε τον μανδύα της ηγεσίας, επιλέξατε να πολεμήσετε ενάντια σε αυτήν τη μοίρα αντί να υποταχθείτε σε αυτήν. Δεν ήταν το πρώτο λάθος που κάνατε στο ταξίδι σας, αλλά αποδείχθηκε, δυστυχώς, το τελευταίο σας.#Τώρα, ως %8 ο γαλαξίας, παρηγορείτε σιωπηλά τον εαυτό σας στις τελευταίες στιγμές σας ότι τουλάχιστον στο θάνατο, οι ανησυχίες σας θα τελειώσουν. Αν μόνο μπορούσες να βρεις κάποιον σαν κι εσένα, ή τουλάχιστον κάποιον που καταλαβαίνει ποιος και τι είσαι, ίσως η μοίρα σου μπορεί να έχει αλλάξει καθώς και οι δύο θα σηκώνατε τα όπλα μαζί...
GAME_OVER_REBELLION_WIN2          | Η αναζήτησή σας έχει τελειώσει...προς το παρόν.#Ενάντια στις βαθύτερες επιθυμίες σας, ο υπόλοιπος γαλαξίας έφερε τον εαυτό του να σας αντιταχθεί  και σας ανάγκασε να απαντήσετε στην πρόκληση αυτή. Δεν μπορέσατε να αποδεχτείτε την κυριαρχία του ξενοφοβικού %5, πήρατε όπλα μόνοι σας για να υπερασπιστείτε τον εαυτό σας και την αναζήτησή σας, από την τρομακτική τους ηγεσία. Γνωρίζατε ότι όσοι είχαν χειραγωγηθεί από αυτούς τους διπρόσωπους τυράννους πιθανότατα θα αντισταθούν σε σας, αλλά η συνέχιση της αναζήτησής σας δεν μπορούσε να τεθεί σε κίνδυνο σε καμία περίπτωση. Έτσι, με θλίψη στην καρδιά σας, έχετε συνθλίψει όλους όσους θα σας αντιτίθενται.#Εάν μια από αυτές τις φυλές δεν είχε δοθεί στον φόβο και το μίσος τους για το άγνωστο, ίσως θα μπορούσαν να ζήσουν μαζί σας σε μια ειρηνική συνύπαρξη. Αλλά αυτό δεν είναι μια απολύτως θλιβερή κατάσταση, τουλάχιστον θα έχετε μια ιστορία που σας στοιχειώνει για να μοιραστείτε με τη μορφή ζωής που είναι το αντικείμενο της αναζήτησής σας, αν καταφέρετε ποτέ να τη βρείτε...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Η αναζήτησή σας έχει τελειώσει...προς το παρόν.#Ξέρατε ότι αυτό θα συνέβαινε από την πρώτη σύνοδο του Γαλαξιακού Συμβουλίου. Παρά τις προειδοποιήσεις σας στις άλλες αυτοκρατορίες που κατοικούσαν στον γαλαξία, ο προδοτικός και κακός %5 είχε καταφέρει να πάρει το τιμόνι της Γαλαξιακής Δημοκρατίας και απείλησε να μολύνει τον γαλαξία με την ξενοφοβία. Γενναία πολεμήσατε εναντίον του, και παρόλο που πολλοί στον γαλαξία αποφάσισαν να ρίξουν τα πάντα στον αγώνα εναντίον σας, καταφέρατε να υπερασπιστείτε τα συμφέροντα σας με επιτυχία στο τέλος.#Ίσως η πιο ευτυχισμένη στιγμή από όλες ήταν η υποστήριξη που λάβατε από τους φίλους σας σε αυτόν τον τελικό πόλεμο. Σοφοί αρκετά για να δούν τον κίνδυνο και αρκετά συμπονετικοί για να σας βοηθήσουν, χαρήκατε που δεν ήσασταν σε αυτόν τον αγώνα μόνοι σας. Τώρα μπορείτε να επιτύχετε μια πραγματικά ειρηνική συνύπαρξη και να μοιραστείτε μαζί την γενναιοδωρία αυτού του γαλαξία. Μια μέρα σύντομα, μπορείτε να βρείτε το δρόμο σας στο ακόμη βαθύτερο διάστημα και να αφήσετε τον γαλαξία ελπίζοντας να συναντήσετε τη μορφή ζωής που έχετε ψάχνετε για τόσο, μα τόσο πολύ καιρό...
GAME_OVER_COUNCIL_WIN2            | Η αναζήτησή σας έφτασε σε ένα απροσδόκητο τέλος.#Ανακαλύψατε πολλά από τότε που ξεκινήσατε από τον αρχαίο σας κόσμο για να αναζητήσετε μια άλλη συνείδηση ​​όπως η δική σας. Αν και δεν έχετε ακόμη εκπληρώσει αυτό το όνειρο, η γνώση και η φιλία που έχετε αποκτήσει από αυτούς που έχετε συναντήσει έχει αποδειχθεί πράγματι μια γκυλιά λεία. Οι σύμμαχοί σας όχι μόνο έχουν ξεπεράσει το φόβο τους για τη μοναδικότητά σας, αλλά έχουν επιλέξει να σας εκλέξουν ως Κυρίαρχο της Γαλαξιακής Δημοκρατίας. Ένα μέλλον που δεν είχατε φανταστεί για τον εαυτό σας βρίσκεται μπροστά σας και θα οδηγήσετε τους νέους φίλους σας σε αυτό με όλη την υπομονή και την εμπιστοσύνη που σας έχουν δείξει.#Ίσως μια μέρα θα ξεκινήσετε ξανά την αναζήτησή σας, για να βρείτε κάποιαν άλλη μορφή ζωής σαν και τη δική σας. Προς το παρόν, όμως, υπάρχει πολλή δουλειά που πρέπει να κάνετε και η αναζήτησή σας θα πρέπει να περιμένει μέχρι να ολοκληρωθεί αυτή η εργασία. Και όταν τελειώσει, μπορεί να διαπιστώσετε ότι η πρωταρχική σας λαχτάρα είναι πολύ μειωμένη. Εξάλλου, για πρώτη φορά στη μεγάλη σας ζωή, δεν είστε πλέον μόνοι.
GAME_OVER_COUNCIL_MILITARY_WIN2   | Η αναζήτησή σας έφτασε σε ένα απροσδόκητο τέλος.#Τώρα επιτέλους, οι μάχες σας έχουν τελειώσει. Μετά την ανάληψη της θέσης του Κυρίαρχου της Γαλαξιακής Δημοκρατίας, καταφέρατε να προσκαλέσετε επιτυχώς όλες τις υψηλότερες μορφές ζωής σε αυτόν τον γαλαξία για να καθίσετε μαζί στο τραπέζι της φιλίας. Τουλάχιστον, έως ότου σχηματίστηκε μια τρομερά ανέτοιμη εξέγερση εναντίον σας. Οδηγημένοι από ξενοφοβία και τρόμο για αυτό που είστε, όσοι ήθελαν να σας ανατρέψουν δεν θα μπορούσαν να καταλάβουν ούτε τα βάθη της μονόνοης δύναμης σας ούτε την οργή των συμμάχων σας στην υπεράσπιση της δημοκρατίας. Έχουν συνθλιβεί, και η ειρήνη θα ρέει μέσα από τον γαλαξία σαν νερό στους ωκεανούς των πολυάριθμων κόσμων που τώρα ονομάζετε δικούς σας.#Καθώς τα εδάφη των ανταρτών χωρίζονται μεταξύ των μελών της συμμαχίας σας, το μυαλό σας περνάει για λίγο στην αναζήτηση που σας έστειλε έξω από τον κόσμο σας εδώ και πολύ καιρό. Είναι αλήθεια ότι δεν βρήκατε ποτέ το αντικείμενο της αναζήτησής σας και παραμένετε μόνοι στο σύμπαν από πολλές απόψεις. Όμως ευτυχώς συνειδητοποιείτε ότι με τους συμμάχους που έχετε κάνει στο ταξίδι σας, ποτέ δεν θα είστε πραγματικά μόνοι ξανά.
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Συναντήσατε μια τρομερή μοίρα.#Κανένας δεν μπορεί να σας κατηγορήσει επειδή ελπίζατε να οδηγήσετε τον γαλαξία στην ειρήνη ως Κυρίαρχος της Γαλαξιακής Δημοκρατίας. Κανένας δεν μπορεί να σας ζητήσει το λόγο για το ότι προσπαθήσατε να συνδέσετε τόσους πολύ διαφορετικούς πολιτισμούς. Όμως, παρά τις καλύτερες προσπάθειές σας, η εξέγερση που προέκυψε εναντίον σας ήταν σε θέση όχι μόνο να υποκινήσει, αλλά και να σας ξεπεράσει ως ηγέτη και να συντρίψει τη Γαλαξιακή Δημοκρατία με όλη τη δύναμη που θα μπορούσε να συγκεντρώσει. Οι σύμμαχοί σας, από καιρό νεκροί, ίσως μετάνιωσαν που επιλέξαν να τους οδηγήσετε πριν οι αυτοκρατορίες τους μετατραπούν σε στάχτη μπροστά στα μάτια τους. Τουλάχιστον δεν μπορείτε να ακούσετε τους θρήνους τους, καθώς οι φωνές τους έχουν σιγήσει για πάντα#Το τελευταίο σώμα σας ετοιμάζεται να συναντήσει τη μοίρα τους στα κρησφύγετα που έσκαψαν για τον εαυτό τους προσπαθώντας να ξεφύγουν από τους εχθρούς σας. Χωρίς φαγητό ή νερό, ο χρόνος τους θα τελειώσει. Αν μόνο είχατε βρεί κάποιον σαν κι εσάς, έναν που πραγματικά κατάλαβαινε και πολεμούσε δίπλα σας με την ίδια επιμονή που θα είχες δείξει για αυτούς. Θα είχαν τελειώσει τα πράγματα διαφορετικά; Ίσως. Δυστυχώς όμως, δεν θα μάθετε ποτέ στα σίγουρα...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Η απρόσκοπτη μονόπνοια του Κλαδέα
GAME_OVER_REBELLION_LOSS3         | κυριαρχούν οι άψυχες ορδές του Κλαδέα
