// race-specific variables (must start with _)
_empire                           | i Nazlokiani, i Sarlokiani, gli Spailokiani, gli Shadelokini, i Nazlokiani
MAIN_ADVISOR_SHIP_WEAPON          | Abbiamo scoperto una nuova tecnologia che migliora le capacità offensive delle nostre astronavi. Dobbiamo nuovamente decidere come aggiornare i nostri progetti di navi per trarne vantaggio il prima possibile.
MAIN_ADVISOR_COUNCIL              | Ci sono voci di un raduno noto come Consiglio Galattico che si verificherà presto. Le nostre spie sperano di usarlo come un'opportunità per raccogliere tutte le informazioni possibili. Il futuro della nostra razza dipende da questo!
MAIN_ADVISOR_REBELLION            | Hanno le persone di %1 perso la testa?! Dimenticano che solo insieme possiamo prevalere in questo universo! Dobbiamo fare subito un esempio di questa ribellione!
MAIN_ADVISOR_RESIST_COUNCIL       | Le nostre probabilità di successo qui sono sempre state risapute come scarse. Combattere contro il Consiglio Galattico e i suoi alleati fa ben poco per ostacolare le nostre possibilità.
MAIN_ADVISOR_COUNCIL_RESISTED     | Abbiamo lavorato troppo a lungo per piegare questi sciocchi alla nostra volontà! La ribellione contro la nostra leadership non può essere tollerata! Distruggili subito!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | La fine della Sua ricerca, la fine della Sua gente...#Una tragedia inimmaginabile è accaduta al Suo impero. Un tempo una razza che cercava disperatamente di scoprire i segreti dell'evento che ha gettato i Suoi antenati dal loro universo morente in questa dimensione aliena, la Sua civiltà giace in totale rovina ai piedi di abitanti molto più potenti di quanto Lei possa sperare di contrastare. Se solo avessero conosciuto la vostra situazione, potrebbero essere stati più misericordiosi, forse anche prestandovi aiuto, o almeno più tolleranti nei confronti dei mezzi che avete usato per raggiungere i vostri fini. Invece ha ottenuto solo la morte prematura della Sua specie mentre altri poteri continuano la loro marcia verso qualunque cosa il futuro riservi per loro.#Ahimè che i Darloki avrebbero dovuto affrontare questo destino! Se avesse giocato la Sua mano in modo diverso, la Sua gente potrebbe essere ancora viva e potrebbe anche aver trovato la chiave che vi avrebbe permesso di portare il resto della Sua razza in questo nuovo piano più stabile. Forse, però, le Sue carte non avrebbero potuto essere giocate meglio: forse il destino aveva semplicemente deciso di darLe una mano molto sfortunata...
GAME_OVER_MILITARY_WIN2           | Finita la prima fase, inizia la vera prova...#Questa galassia è Sua! Proprio come la Sua gente dominava l'universo da cui proveniva, così anche Lei ha schiacciato la debole opposizione in questa galassia e ha rivendicato tutto ciò che contiene come Suo. Le tattiche che ha impiegato si sono rivelate troppo difficili da superare per i Suoi nemici, e la furtività e la segretezza che ha impiegato per ottenere i loro segreti lo hanno dimostrato ancora di più. Ora, mentre le ultime roccaforti dei Suoi nemici cadono sotto la Sua potenza, guarda le stelle che ricoprono quella che diventerà la dimora permanente dei Darloki.#Ma il Suo lavoro non è ancora vicino al completamento. Avete imparato a vivere in questa dimensione aliena e ha reso un'intera galassia sicura per farla abitare e prosperare dalla Sua gente. Tuttavia, i segreti della frattura interdimensionale che ha portato la Sua razza qui in primo luogo devono ancora essere scoperti, e ogni giorno che passate qui significa che il vostro universo natale si avvicina al suo inevitabile collasso. E se qualcuno degli imperi che hai distrutto avesse già avuto il segreto, la tua conquista militare potrebbe essersi rivelata la Sua rovina.
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Finita la prima fase, inizia la vera prova...#Ora è l'ora della Sua prima vera vittoria! Quando la Sua gente è stata catapultata in questa dimensione, l'hanno trovata spaventosa, aliena e pericolosa. Ma piuttosto che rannicchiarsi e guadagnarsi da vivere come meglio potevano, sono andati avanti coraggiosamente, giurando di padroneggiare i segreti di questa galassia e assicurarsi di portare il resto della vostra gente dal loro piano morente. Lungo la strada, sono stati fatti nemici e amici, e il terreno è stato preparato per la più grande sfida che la Sua gente avrebbe mai conosciuto.#Insieme ai vostri alleati siete riusciti a smantellare coloro che si sarebbero opposti ai vostri obiettivi e a romperli sulle vostre flotte come la marea si infrange contro la riva. Ora rimani solo Lei e i Suoi amici intimi, e attraverso la parentela che può essere acquisita solo partecipando alla vittoria della guerra, aiuterà felicemente i Suoi alleati nei loro fardelli come loro aiuteranno Lei nei Suoi. E una volta che il Suo popolo avrà attraversato in sicurezza le dimensioni e il Suo vero impero sarà rinato, solo coloro che si saranno dimostrati fedeli alla Sua causa potranno vivere in un universo che sarà senza dubbio fatto Suo...
GAME_OVER_COUNCIL_LOSS2           | I Suoi piani sventati, la Sua cerca in pericolo...#I Suoi piani sono stati svelati alla galassia e, sebbene nessuno possa sperare di eguagliare la Sua abilità nel sotterfugio, gli occhi dei Suoi rivali si sono rivelati troppo vigili per essere aggirati anche da Lei. Con la creazione della Nuova Repubblica e il futuro della galassia da determinare, i voti per i membri del consiglio hanno dimostrato di disfare i Suoi piani ben congegnati. Il futuro appartiene alla razza %6!#Il tentativo di acquisire la capacità di guidare il corso della galassia era una strategia ambiziosa. Se le Sue macchinazioni diplomatiche fossero state più sottili, è molto probabile che l'intera volontà della galassia sarebbe stata piegata a servire la Sua cerca. Ora dovrà sottomettersi alla volontà della razza %6, ma ogni giorno che passa porta coloro che sono bloccati nell'universo al collasso da cui vieni un giorno più vicino a un destino più terribile di quanto osa immaginare...
GAME_OVER_REBELLION_LOSS2         | La fine della Sua cerca, la fine della Sua gente...#La fortuna non ha mai favorito la Sua gente dal tuo arrivo su questo piano poco accogliente. Non vi ha favorito quando siete stati catapultati in una dimensione in cui nessuna delle vostre tecnologie funzionava correttamente. Non vi ha favorito quando gli abitanti nativi di questa galassia hanno votato contro di Lei per guidare la Nuova Repubblica. E ora, alla fine di tutte le cose, non L'ha favorito mentre colpisce i Suoi rivali per assicurarsi non solo la leadership della galassia, ma la Sua stessa sopravvivenza.#La Sua gente era tenace, forte e determinata, ma i loro migliori sforzi e la volontà di vincere con ogni mezzo necessario semplicemente non erano sufficienti per garantire loro la vittoria contro la potenza schiacciante degli eserciti della Nuova Repubblica. Il vostro coraggio era degno di memoria: di questo nessuno potrebbe obiettare. Ma mentre l'ultimi dei Suoi eserciti, e i Suoi stessi mondi, cadono sotto i Suoi nemici, il Suo impero infranto giace sconfitto, infranto e presto dimenticato...
GAME_OVER_REBELLION_WIN2          | Finita la prima fase, inizia la vera prova...#Ora finalmente questi sciocchi inferiori vedranno il Suo potere e si scateneranno! Invano i Suoi nemici hanno cercato di ostacolarLa nella ricerca per liberare i Suoi parenti bloccati dal loro destino finale, e hanno usato ogni trucco possibile per ostacolarLa. Dalle minacce allo spionaggio all'aperta ostilità, il loro desiderio di impedirLe di raggiungere il Suo obiettivo era all'apice quando hanno votato contro di Lei per guidare la Nuova Repubblica nonostante Lei fosse il più degno di farlo. Con poca scelta e senza una coscienza pesante, ha scatenato su di loro la stessa terribile furia che ha portato il Suo popolo al dominio totale nell'universo da cui siete venuti.#Ora questa galassia è Sua, e sebbene il tempo sia breve prima che il Suo piano di origine collassi e coloro che sono rimasti indietro subiscano un destino peggiore della morte, almeno ora non è rimasto nessuno in questa dimensione che si opporrà a Lei. Ora finalmente questi sciocchi inferiori vedranno il Suo potere e la Sua volontà essere scatenati. O almeno lo farebbero, se qualcuno di loro fosse lasciato in vita per farlo...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Finita la prima fase, inizia la vera prova...#Fin dall'inizio Lei sapeva che gli abitanti di questa galassia non si sarebbero mai fidati di Lei per guidare un'alleanza unificata di imperi spaziali. Disonesti e diffidenti, gli imperi nativi che abitano questo piano hanno fatto tutto il possibile per sventare i Suoi piani e hanno votato allegramente contro di Lei quando è iniziata la formazione della Nuova Repubblica. Ma Lei è saggio e astuto, e vedendo le loro macchinazioni con la stessa facilità con cui si leggono le parole su una pagina, ha concentrato i Suoi sforzi diplomatici solo su coloro che erano più degni di stare al Suo fianco. E quando è arrivato il momento in cui i Suoi nemici pensavano di averLa intrappolato, si sono trovati in una trappola che era stata lanciata da tempo.#Ora Lei e i Suoi alleati siete vittoriosi sulle ceneri di coloro che hanno osato ritenersi superiori. Il destino della galassia è nelle Sue mani mentre è libero di trovare un modo per portare i Suoi parenti bloccati attraverso le barriere dimensionali e in un nuovo universo pronto per essere conquistato. E se quelli che ha scelto come compagni La ostacolano dai Suoi obiettivi, li affronterà con la stessa decisione con cui ha trattato tutti gli altri...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Finita la prima fase, inizia la vera prova...#Molto tempo fa un piccolo gruppo della Sua gente fu espulso dal loro universo morente e spinto in questo nuovo piano alieno. Quando avete iniziato a cercare un modo per portare coloro che erano bloccati a unirsi a voi in questa nuova e stabile galassia, i vostri incontri con coloro che già abitavano tra queste stelle vi hanno insegnato rapidamente che non sareste stati in grado di trovare le risposte che cercavate mentre combattete guerre meschine e prolungate. Invece ha cercato di manipolare il corso della storia mentre era velato dalle ombre, e ora finalmente quei piani sono giunti a buon fine.#La razza %7 ha assunto il controllo della Nuova Repubblica e si è dimostrata malleabile e ricettiva ai Suoi progetti e al Suo consiglio. In qualità di confidenti e consiglieri, la Sua gente è in una posizione unica per guidare il potere della galassia stessa sotto la guida del Suo alleato. Lei è troppo lontano dall'autorità diretta per sentire il contraccolpo se le cose dovessero fallire. Se ci riuscirà, il rafforzamento dei Suoi ranghi con l'arrivo dei Suoi parenti perduti sarà più che sufficiente per iniziare una nuova era e far pendere la bilancia in modo schiacciante a vostro favore...
GAME_OVER_COUNCIL_WIN2            | Finita la prima fase, inizia la vera prova...#Le camere del consiglio esplodono in applausi quando inizia il Suo regno come Maestro della Nuova Repubblica. Accetta umilmente il fardello di amministrazione che Le è stato concesso dagli imperi che compongono il Consiglio Galattico, sapendo che questa fine è stata il risultato di un piano da tempo in preparazione. Poco dopo che il Suo popolo è arrivato in questa dimensione e ha appreso dei suoi misteri, sapevate che sarebbe stato impossibile per voi da soli trovare un modo per consentire ai vostri fratelli e sorelle intrappolati di compiere il viaggio verso questo piano prima che il loro universo crollasse del tutto. Ora, dopo anni e anni di diplomazia, furtività e manipolazione politica, non dovete più farlo.#Ora, questa galassia è Sua da modellare, scolpire e guidare lungo il percorso che Le sembra migliore. Presto piegherete la tecnologia, la forza e l'innovazione dei Suoi alleati per aiutarvi ad aprire un portale per la vostra casa e ricostruire la vostra civiltà qui con il maggior numero di persone che potete introdurre. E se qualcuno osasse tentare di fermarvi, ora ha gli eserciti della Nuova Repubblica per schiacciare il loro dissenso una volta per tutte...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Finita la prima fase, inizia la vera prova...#Ora il Suo dominio su questa galassia è confermato con le parole e con i fatti. Dopo innumerevoli anni passati a manipolare i Suoi rivali interstellari per aiutarLa a raggiungere i Suoi obiettivi, i Suoi piani si sono finalmente realizzati quando ha ottenuto il titolo di "Maestro della Nuova Repubblica". E quando le voci dei Suoi dissidenti si sono alzate contro di Lei, aveva già messo in moto piani all'interno di piani che Le hanno permesso di reprimere con decisione la ribellione. Loro hanno combattuto, Lei ha vinto e ora l'intera galassia è Sua di cui farne a Suo piacimento.#Con i Suoi nemici ridotti in polvere e sparsi sui venti solari, rivolge la Sua attenzione al Suo vero obiettivo: trovare un modo per portare la Sua gente divisa attraverso il baratro dimensionale e in questo nuovo e stabile universo dove il Suo impero può rinascere. Nessuno oserebbe parlare contro di Lei ora, non dopo aver visto cosa è successo a quelli abbastanza sciocchi da farlo...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | La fine della Sua cerca, la fine della Sua gente...#Il destino più triste che avrebbe potuto raggiungere per il Suo popolo è stato trasformato in realtà. La Sua ineguagliabile capacità di sotterfugio e manipolazione è stata sventata da specie inferiori che non potevano sperare di capire il grande lavoro che stava cercando di compiere. Sebbene Lei sia riuscito nell'impresa monumentale di diventare il sovrano eletto della galassia pur mantenendo la segretezza che avvolgeva i Suoi obiettivi, non è stato in grado di soffocare la ribellione che presto sorse per far fronte al Suo dominio fiorente.#Ora è troppo tardi per guidare il futuro della galassia lungo il percorso che ritiene opportuno. La ribellione ha lasciato la Nuova Repubblica come nient'altro che rovine che i vincitori possono saccheggiare e ricostruire. E la morte dei Darloki suggella il destino di coloro che rimangono intrappolati in un universo condannato da cui non hanno alcuna speranza di fuggire. Il Suo fallimento ha segnato il destino del Suo impero non in uno, ma in due universi, e in quanto tale è più monumentale di quanto i Suoi nemici possano persino comprendere...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | la morsa ombrosa dei Darloki intrappola
GAME_OVER_REBELLION_LOSS3         | le inconoscibili macchinazioni dei Darloki
