// race-specific variables (must start with _)
_empire                           | Darloklar, Sarloklar, Casloklar, Karloklar, Nazloklar
GAME_OVER_MILITARY_LOSS2          | Arayışının sonu, halkının sonu...#İmparatorluğunun başına hayal bile edilemeyecek bir trajedi geldi. Bir zamanlar atalarını ölüm döşeğindeki evrenlerinden bu yabancı boyuta fırlatan olayın sırlarını ortaya çıkarmak için çırpınan uygarlığın, karşı durabileceğinden çok daha güçlü sakinlerin ayaklarının altında tamamen mahvolmuş durumda. Eğer durumunuzu bilselerdi, daha merhametli olabilir, hatta belki size yardımda bulunur ya da en azından amaçlarınıza ulaşmak için kullandığınız yollara karşı daha hoşgörülü olabilirlerdi. Bunun yerine, diğer güçler, onları bekleyen geleceğe doğru yürüyüşlerine devam ederken, yalnızca türünün zamansız ölümünü elde ettin.#Ne yazık ki Darloklar bu felaketle karşılaşacak! Elini farklı oynamış olsaydın, halkın hâlâ hayatta olabilir ve hatta ırkının geri kalanını bu yeni, daha istikrarlı düzleme getirmene izin verecek anahtarı bulmuş olabilirdin. Belki de kartların daha iyi oynanamazdı: belki de kader sana çok talihsiz bir el sunmaya karar vermişti...
GAME_OVER_MILITARY_WIN2           | İlk aşama bitti, gerçek sınav başlıyor...#Bu galaksi senin! Nasıl ki halkın geldikleri evrene hükmediyordu, sen de bu galaksideki zayıf muhalefeti ezip galaksideki her şeyi mülkiyetinize kattın. Onların sırlarını elde etmek için izlediğin gizlilik ve örtüklük şöyle dursun, uyguladığın taktikler de düşmanlarının üstesinden gelemeyeceği türdendi. Şimdi, düşmanlarının son kaleleri gücünüzün karşısında düşerken, Darlokların müstakbel kalıcı evine saçılan yıldızlara bakıyorsun.#Ama işinin tamamlanmasına daha var. Bu yabancı boyutta nasıl yaşayacağınızı öğrendin ve tüm galaksiyi halkının yaşaması ve kalkınması için güvenli hale getirdin. Bununla birlikte, ırkını ilk etapta buraya getiren boyutlararası yarığın sırları hâlâ ortaya çıkmadı ve burada geçen her gün, ana evreninizin kaçınılmaz çöküşüne daha da yaklaşması demek. Ve sır, yok ettiğin imparatorluklardan herhangi birinde mevcuttuysa, askeri fethinin aslında aslında felaketiniz demek olabilir...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | İlk aşama bitti, gerçek sınav başlıyor...#Şimdi ilk gerçek zaferinizin zamanı! Halkın bu boyuta atıldığında, onu korkutucu, yabancı ve tehlikeli buldular. Ama sinip bir köşede hayata tutunmak yerine, bu galaksinin sırlarında ustalaşmaya ve halkının geri kalanını ölmekte olan düzlemlerinden buraya gelmelerini sağlamaya yemin ederek cesurca atıldılar. Yol boyunca düşmanlar ve arkadaşlar edinildi ve sahne, halkının karşılaşacağı en büyük meydan okuma için hazırlandı.#Müttefiklerinle birlikte hedeflerine karşı çıkacakları bertaraf etmeyi ve donanmalarınızla denizin kıyıda dağıldığı gibi dağıtmayı başardın. Artık geride sadece sen ve dostların kaldı ve ancak bir savaşta zafer paylaşarak kazanılabilecek bir yakınlık vesilesiyle, nasıl onlar sana işlerinde yardım ediyorsa sen de onlara seve seve yardım edeceksin. Ve halkın boyutlardan güvenli bir şekilde geçip gerçek imparatorluğunuz yeniden doğduğunda, şüphesiz size ait olacak bir evrende, yalnızca amacınıza sadık olduklarını gösterenler yaşayabilirler...
GAME_OVER_COUNCIL_LOSS2           | Planların suya düştü, arayışınız tehlikeye girdi...#Planların tüm galaksiye açık edildi. Hiç kimse senin dalavere yeteneğine erişmeyi hayal edemese de, rakiplerinin gözleri senin bile atlatamayacağın kadar dikkatliydi. Yeni Cumhuriyet'in kurulması ve galaksinin geleceğinin belirlenmesiyle, konsey salonundaki oyların iyi hazırlanmış planlarınızı bozduğu âşikâr oldu. Gelecek %6 ırkına ait!#Galaksinin gidişatını yönlendirme gücünü kazanmaya çalışmak iddialı bir stratejiydi. Diplomatik entrikaların daha incelikli olsaydı, galaksinin tüm iradesinin arayışına hizmet etmek için meyletmesi çok olasıydı. Artık %6 ırkının iradesine boyun eğmek zorundasınız ama geçen her gün, geldiğin çöküş sürecindeki evrende mahsur kalanları hayal bile edemeyeceğiniz kadar korkunç bir kadere bir gün daha yaklaştırıyor...
GAME_OVER_REBELLION_LOSS2         | Arayışının sonu, halkının sonu...#Kısmet, bu hasmane düzleme gelişinizden bu yana hiç halkının yanında olmadı. Teknolojilerinizin hiçbirinin düzgün çalışmadığı bir boyuta fırlatılmanız aleyhinizeydi. Bu galaksinin yerli sakinlerinin Yeni Cumhuriyet'e liderlik etmemen için oy kullanmaları da aleyhinizeydi. Ve şimdi, her şeyin sonunda, galaksinin liderliği bir yana, hayatta kalmanızı sağlamak için rakiplerinize karşı saldırman da aleyhinizeydi.#Halkın inatçı, güçlü ve kararlıydı, ancak en iyi çabaları ve kazanmak için her yolu deneme istekleri, Yeni Cumhuriyet ordularının ezici gücüne karşı zafer kazanmaları için yeterli değildi. Cesaretiniz hatırlanmaya değerdi: kimse bunu tartışamaz. Ama ordularınızın sonuncusunun ve hatta dünyalarınızın düşmanlarınızın önünde diz çökmesiyle, yıkılan imparatorluğunuz ezilmiş, dağılmış ve yakında unutulacak...
GAME_OVER_REBELLION_WIN2          | İlk aşama bitti, gerçek sınav başlıyor...#Şimdi sonunda bu aşağılık aptallar gücünü ve iradeni görüyor! Düşmanların, mahsur kalan akrabalarınızı nihai sonlarından kurtarma arayışında önünü kesmeye çalıştılar ve seni engellemek için ellerinden gelen her üçkâğıda giriştiler. Onları tehditlerden casusluğa ve açık düşmanlığa kadar her yola sevk eden amacına ulaşmanı engelleme arzuları, bunu yapmaya en layık kişi olmana rağmen, Yeni Cumhuriyet'e liderlik etmemen için oy kullandıklarında doruk noktasındaydı. Seçeneksiz kaldığında, suçluluk bile hissetmeden, halkını geldiğiniz evrende tam bir hakimiyete götüren o korkunç öfkeyle onlara günlerini gösterdin.#Artık bu galaksi sizin. Asıl düzleminizin çökmesine ve geride kalanların ölümden beter bir akıbete uğramasına zaman az olsa da, en azından şimdi bu boyutta size karşı çıkacak kimse kalmadı. #Şimdi sonunda bu aşağılık aptallar gücünü ve iradeni görüyor. Ya da en azından, içlerinden biri hayatta kalsaydı, görürlerdi...
GAME_OVER_REBEL_ALLIANCE_WIN2     | İlk aşama bitti, gerçek sınav başlıyor...#En başından beri, bu galaksi sakinlerinin, birleşik bir uzay imparatorluğu ittifakına liderlik etme konusunda sana asla isteyerek güvenmeyeceğini biliyordun. Bu düzlemde barınan yerli imparatorluklar, ikiyüzlülükleri ve güvensizlikleriyle, planlarını bozmak için ellerinden geleni yaptılar ve Yeni Cumhuriyet'in kuruluşunda neşeyle size karşı oy kullandılar. Ama sen akıllısın ve kurnazsın ve onların entrikalarını bir sayfadaki sözcükleri okur gibi kolayca görerek diplomatik çabalarını yalnızca yanında durmaya layık olanlara odakladın. Ve düşmanlarının seni tuzağa düşürdüklerini sandıkları zaman geldiğinde, kendilerini çoktan kurulmuş bir tuzağın içinde buldular.#Artık sen ve müttefiklerin, kendilerinin sizden üstün olduğunu düşünmeye cüret edenlerin külleri üzerinde muzafferane duruyorsunuz. Galaksinin kaderi senin elinde ve zemin mahsur kalmış akrabalarınızı boyutsal engellerin ötesinden bu yeni evrene getirmenin bir yolunu bulmaya müsait. Ve yoldaş olarak seçtiklerin seni hedeflerinden alıkoyarsa, diğerlerinin nasıl hakkından geldiysen onlarla da kararlı bir şekilde başa çıkacaksın...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | İlk aşama bitti, gerçek sınav başlıyor...#Uzun zaman önce, halkından küçük bir grup, ölmekte olan evrenlerinden fırlatılıp bu yeni ve yabancı düzleme ittirildiler. Geride mahsur kalanların bu yeni ve istikrarlı galakside size katılmalarının bir yolunu aramaya başladığında, halihazırda bu yıldızların arasında yaşayanlarla karşılaşmanız size kısa sürede aradığınız cevapları önemsiz ve uzun süren savaşlarla boğuşurken bulamayacağını öğretti. Bunun yerine, perde arkasından tarihin akışını manipüle etmeye çalıştın ve şimdi sonunda bu planlar meyvelerini verdi.#%7 ırkı Yeni Cumhuriyet'in hakimiyetini üstlendi ve işlenebilir ve tasarılarına ve istişarene açık olduklarını gösterdiler. Sırdaşlar ve danışmanlar olarak halkın, müttefikinin liderliğinde galaksinin gücünü yönlendirmek konusunda eşsiz bir konumda. Doğrudan otoriteden, işler kötüye giderse, gösterilecek tepkiden etkilenmeyecek kadar uzaktasın. Başarırsan, uzun süredir kayıp olan akrabalarının gelişiyle güçlenen safların, yeni bir çağa başlamak ve dengeyi ezici bir şekilde lehine çevirmek için fazlasıyla yeterli olacaktır...
GAME_OVER_COUNCIL_WIN2            | İlk aşama bitti, gerçek sınav şimdi başlıyor...#Yeni Cumhuriyet'in Efendisi olarak saltanatına başlarken konsey salonlarında alkışlar yankılanıyor. Galaktik Konsey'i oluşturan imparatorluklar tarafından sana verilen idare yükünü, bu konumun uzun süredir yapılan bir planın sonucu olduğunu bilerek, alçakgönüllülükle kabul ediyorsun. Halkın bu boyuta gelip onun gizemlerini öğrendikten kısa bir süre sonra, kapana kısılmış erkek ve kız kardeşlerinizin evrenleri tamamen çökmeden önce bu düzleme yolculuk yapabilmelerini sağlamanın bir yolunu tek başına bulmanın imkansız olacağını biliyordun. Şimdi, yıllarca süren diplomasi, gizlilik ve siyasi manipülasyondan sonra artık bunlara ihtiyacın yok.#Şimdi, bu galaksi yontman, şekillendirmen ve sana en iyi görünen rotada yönlendirmek üzere ellerinde. Yakında müttefiklerinin teknolojisini, gücünü ve yeniliklerini evine bir portal açıp uygarlığını burada mümkün olduğunca çok fertle birlikte yeniden inşa etmene yardımcı olacak şekilde eğip bükeceksin. Ve birileri seni durdurmayı denemeye cüret ederse, muhalefetlerini kesin olarak ezmek için artık Yeni Cumhuriyet'in ordularına sahipsin...
GAME_OVER_COUNCIL_MILITARY_WIN2   | İlk aşama bitti, gerçek sınav şimdi başlıyor...#Şimdi bu galaksideki yönetimin hem sözlü hem de fiilî olarak doğrulandı. Hedeflerine erişmene yardımcı olmaları için yıldızlararası rakiplerini manipüle ettiğin sayısız yıldan sonra, "Yeni Cumhuriyet'in Efendisi" unvanını kazanmanla planların nihayet meyvesini verdi. Ve muhaliflerinin sesleri sana karşı yükseldiğinde, isyanı kararlı bir şekilde bastırmanı sağlayacak planlar içinde planları çoktan hazır etmiştin. Savaştılar, sen kazandın ve şimdi tüm galaksi istediğin gibi at koşturman üzere senin.#Düşmanların toza dönüşmüş ve güneş rüzgarlarına dağılmışken, dikkatini gerçek hedefine çeviriyorsun: parçalanmış halkını boyutsal uçurumun ötesinden, imparatorluğunun yeniden doğabileceği bu yeni ve istikrarlı evrene getirmenin bir yolunu bulmak. Kimse senin aleyhinde, önceden bunu yapan aptalların başına gelenleri gördükten sonra, konuşmaya cesaret edemez...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Arayışının sonu, halkının sonu...#Halkın için elde edebileceğin en üzücü kader gerçeğe dönüştü. Eşsiz hile ve manipülasyon yeteneğin, başarmaya çalıştığın büyük işi anlamaları mümkün olmayan aşağı türler tarafından engellendi. Bir yandan hedeflerini örten gizliliği korurken bir yandan da galaksinin seçilmiş hükümdarı olma gibi heybetli bir görevi başarmış olsan da, tomurcuklanan iktidarına karşı durmak için kısa sürede yükselen isyanı bastırmayı başaramadın.#Artık galaksinin geleceğine uygun gördüğün yol boyunca yön vermen için çok geç. İsyan, Yeni Cumhuriyet'ten geriye galiplerin yağmalayıp ve üzerine inşa edeceği yıkıntılardan başka bir şey bırakmadı. Ve Darlokların ölümü, kaçma umutları olmayan lanetli bir evrende mahsur kalanların kaderini mühürlüyor. Başarısızlığın bir değil iki evrende imparatorluğunun kaderini belirledi ve bu nedenle düşmanlarınızın kavrayabileceğinden bile daha abidevi.

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | Darlokların karanlık kavrayışının
GAME_OVER_REBELLION_LOSS3         | Darloksların bilinemeyen entrikaları galaksiyi sararken
