// 第1次校对：2021.12.18
// race-specific variables (must start with _)
_empire                           | 蜥蜴王国, 爬行王国, 索拉王国, 拉普托王国, 提拉那王国
GAME_OVER_REBELLION_LOSS2         | 所有世界的命运都已终结……#你的坚韧和理想主义让你走到了这一步。你的敌人粉碎了你的军队，并对你的世界做了迄今为止无法想象的恶行。曾经，你认为通过玩他们的政治游戏，你将能够影响他们的想法，使其更符合你的理念。但是当邪恶的[leader_race]种族控制了新共和国时，你知道和平谈判将变得不可能。作为生态平衡的拥护者，你们的人民发誓要拿起武器来防止银河系中的行星受到虐待，你们准备为此而死。#现在，你们已经失败了：你们的世界已经被征服，你们花费数代建立的伟大工程正在被毁灭。你的人民被迫撤退，在他们最后的堡垒中进行最后的抵抗，他们在那里为捍卫你的理想而死。作为生态平衡最热心的信徒，你们的灭绝不仅是你们人民的重大损失，也是整个银河系的损失……

GAME_OVER_REBELLION_WIN2          | 世界的救赎就在眼前！#这是属于蜥蜴王国的时刻！你已经克服了在建立星际帝国时所面临的每一个障碍，永远不要忘记你的首要职责：保护每一个世界独一无二的自然光彩。任何胆敢反对你的人，很快就发现了自己的愚蠢。当[leader_race]种族被授予新共和国的领导权时，你决定以最直接的方式向整个银河系展示他们的选择是多么错误。#现在再也没有反对你意志的敌人，也没有能够伤害你所保护的行星的傻瓜。你的人民可以花时间寻找解决每个世界生态难题的方法。当所有星系在你的指导下实现完美的自然和谐时，你将准备好将其他星系的世界也置于你的保护之下。蜥蜴王国万岁！

GAME_OVER_REBEL_ALLIANCE_WIN2     | 世界的救赎就在眼前！#如果说这一系列事件只是让人惊讶的，那还远远不够。起初，帝国间的争端似乎可以用和平的方式解决。然而，当星际委员会选择另一个种族来领导新共和国时，你知道除了战争之外别无选择。你举起了反抗新共和国的旗帜，为银河系的命运做出了牺牲。#出乎意料的是，你发现其他人愿意加入你的事业，将银河系从不光彩的压迫中解放出来。事实证明，与你们并肩作战的人和你们的人民一样顽强，你们一起消灭了错误的统治者，并为银河系开启了一个新的未来。在这个新的未来里，所有行星的福祉将成为最重要的问题。如果你的盟友决定在未来脱离这个方向，你已经拥有如何有效应对他们战术和战略的知识。每个星球都将在你的管理下发挥其潜力，这确实令人欣喜若狂……

GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 世界的救赎就在眼前……#这确实是你在当前情况下所希望的最好结果。从你第一次与其他帝国的相遇开始，你就知道他们有各种缺点，这会阻止它们看到你哲学中的真相。你决定在你的人民和[leader_race]种族之间架起桥梁，将他们推向对你的计划有利的位置。现在，他们坐在新共和国的宝座上，作为他们最亲密的知己，蜥蜴族随时准备收获他们给予的回报。#你将继续影响[leader_race]盟友，以确保共和国中每个世界的环境得到保护。如果一个更顽固的帝国试图阻碍你的意志，你完全有信心能够对付它们。这就是你与[leader_race]种族之间纽带的力量，这将是你确保行星维持安全的方式……

GAME_OVER_COUNCIL_WIN2            | 世界的救赎就在眼前！#你们已经实现了你们的人民从他们第一次进入宇宙以来所向往的胜利。事实证明，你们遇到了许多具有奇妙生态的陌生世界，这是你们碰到的挑战。驾驭外交事务对你来说是一项更加微妙的任务，你的智慧可以被用于解决更重要的问题。最终你站在了表示最高权威的位置上：你现在是新共和国的主人。#利用你的职位，你将确保银河系中的每个星球都得到尊重和谨慎的对待。如果共和国内的任何帝国在追求自己微薄的目标时违背这一铁律，你可以使用一支银河军队来确保他们意识到错误。当各个世界被完善后，你将面临一个新的未来：探索其他星系并将你的哲学带到其他世界。最高长官，你的工作才刚刚开始……

GAME_OVER_COUNCIL_MILITARY_WIN2   | 世界的救赎就在眼前！#虽然并非没有挫折，但你想要塑造银河系的意志并没有遭到真正的挑战。成为新共和国的主人对你来说是不小的壮举，你适应了敌对的帝国和他们的阴谋诡计。当共和国的一些误入歧途的成员决定煽动叛乱以维护他们摧毁自己世界的嗜好时，你很快就得出结论：他们必须被消灭。 #现在反叛者已被镇压，并成为那些试图将个人愿望置于星球福祉之上的人的榜样。叛军能够以一种你没有预见到的方式让自己变得有用：银河系的各个帝国团结了起来，只为对抗一个共同的敌人，他们现在在共同胜利的光芒中沐浴着你的意志，变得更加服从。现在是你推进你的计划的时候了，不管那些屈从于你的人是否能够理解，内心深处你知道银河系会感谢你……

GAME_OVER_COUNCIL_MILITARY_LOSS2  | 所有世界的命运都已终结……#新共和国尚未成熟之时，灾难就已经袭击了它。你的智慧和你对环境的热爱传遍银河系，当银河系选择统一在一个旗帜下时，你理所当然地成为了最高领导人。但在登上这个新的宝座后不久，叛乱开始滋长并壮大。你和被你领导的人相信，凭借你们的人数和实力，这会是一场轻松的胜利。这种自满似乎最终导致了你们的失败。#那些反抗你的人对他们的能力充满信心，你的帝国在你身边崩溃。现在整个新共和国已经溃败，它的每支舰队都被摧毁，它的每一个世界都被那些不计代价为自己寻求权力的人所征服。叛军现在将带领银河系进入新的未来，不管这个未来多么扭曲。在生命的最后一刻，你只希望他们能向被征服的行星展示他们最终拒绝给予你的怜悯……


// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 蜥蜴族对环境的热忱
GAME_OVER_REBELLION_LOSS3         | 蜥蜴族不屈的动力控制了
