// 第1次校对：2021.12.18
// race-specific variables (must start with _)
_empire                           | 赛隆共和国, 美塔隆共和国, 西隆共和国, 塞里布隆共和国, 纽拉隆共和国
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 和平实现了，虽然不是你想要的方式……#星际委员会投票反对你作为他们的领导者，这个决定并没有让赛隆人中开心。幸运的是，你足够明智地预见到了这个结果，并巧妙地避免了比现在更糟糕的情况：你的盟友[leader_race]种族现在将决定整个银河系的未来。#在新共和国的太阳升起的第一天，你感受到了胜利的喜悦，这是一个你纵横捭阖之后得到的结果。你的盟友已经证明自己有足够的智慧来完成这项任务，虽然没有人能像你的人民一样热爱和平。但出于某种原因，你可以相信%8，他们会让你的最终目标得以实现……
GAME_OVER_REBELLION_LOSS2         | 共和国已是一片废墟……#似乎从你的旅程开始命运就在阻止你。维持一个太空帝国是困难的，处理外星力量的战争威胁也是困难的。当星际委员会选择好战的[leader_race]种族作为领导者时，你意识到新共和国有了一个全新的主人。银河系无法在这样的暴力种族下维持和平，他们只会把银河系带向一场暴力的不归路。#你们的人民拥有任何其他物种无法比拟的智慧，并能够发明奇妙和致命的技术来帮助他们进行战争。然而，新共和国的综合实力让你无法对抗，最终你的舰队燃烧殆尽。事实证明，强大的数量不仅仅与卓越技术匹配。现在，随着命运之轮进行最后的转动，赛隆共和国的遗迹即将从银河系中消失。作为即将到来的众多战争的第一个受害者，你知道：如果没有你的人民引导银河系，人们不太可能知道真正的和平可以带来的好处……
GAME_OVER_REBELLION_WIN2          | 和平以沉重的代价实现了……#短暂的新共和国不复存在！尽管你的所有努力都试图引导这个银河系的帝国们和谐共存，但事实证明，帝国本身是实现所有人和平梦想的最大障碍。在无数次对你的背叛和背信弃义后，这些帝国把你逼到了一个没有选择的绝境。现在他们的舰队、他们的世界和他们的帝国都处于废墟之中，因为即使是整个银河系的综合力量也无法与赛隆人的卓越智力和技术实力相提并论。#然而你的心情很沉重，这是可以理解的。尽管你的历史学家无疑会善待你以前的敌人，但这并不能改变这样一个事实：即这些独特的文明都已消失，没有机会为新的未来添砖加瓦。至少，最高议长，你的人民是安全的，和平将是未来唯一的信条，直到你的触角延伸到这个星系之外，遇到在未知之处等待你的东西……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 和平以沉重的代价实现了……#很久以前，你们的人民满怀希望地仰望夜空，你们的整个种族团结一致，寻求创建一个与邻居和谐共存的庞大太空共和国。当你的竞选活动接近尾声时，你发现自己的梦想以一种出乎意料的方式实现，而你不得不去阻止它。虽然一个新的银河联邦成立了，但任命一位暴力领导人担任最高职位的决定迫使你最后一次为和平而战。你勇敢地逆流而上，向这个专制政权宣战。你不顾一切地取得了成功。#命运对你露出了微笑。其他人被你的勇气和你对胜利后和平的许诺所感召，所以这场战斗里你并不孤单。你的盟友加入了你的抵抗，他们疯狂地战斗着。在你们的合力之下，暴虐的政权被打败，你们给宇宙带来了永恒的和平。新时代现在开始了，最高议长。现在，你祈祷那些选择和你一起建造新时代的人选能坚持和平的原则，就想你们会做的一样……
GAME_OVER_COUNCIL_WIN2            | 终于和平了！#终于，你的追求圆满了！你在进入太空后的漫长岁月中所遇到的考验比你想象的要困难得多。尽管您的人民早就知道和平共处是唯一的途径，但你在旅途中遇到的强大帝国并不容易被说服。通过专业的外交手段和巨大的耐心，你终于在你的冒险中取得成功。现在你成为了银河系的领袖，无人再敢反对。#现在新的考验将开始。随着赛隆共和国成为银河系的领导者，你的文明将为所有其他文明树立榜样。未来会有更多的困难等待着你，因为旧日的矛盾和文化差异将浮出水面，使你努力实现的和平变得紧张。但是你知道，只要你的人民坚定不移地实现他们的愿景，这个银河系中的任何生物都不需要再次体验战争的恐怖！
GAME_OVER_COUNCIL_MILITARY_WIN2   | 和平以一种苦中带甜的方式实现了……#当你担任新共和国的领导，你希望这标志着银河系的新开始，从此以后暴力和战争将屈服于和平与繁荣。然而，你的希望很快就破灭了，银河系中最恶毒的种族纷纷站出来拒绝你的统治，并使所有已知的帝国陷入又一场可怕的战争。眼睁睁地看着和平的最后机会在你眼前溜走，你做出了唯一能做的决定：以新共和国的全部力量对抗他们的反叛，你和你的盟友一起派遣舰队来恢复银河系的秩序。#随着叛乱者化为灰烬，和平终于实现。令人难过的是，这些种族因为拒绝接受和平而招致了自己的灭亡。但你不能沉溺于悲伤，他们选择了自己的命运，而命运也给了他们答案。现在，最高议长，新时代将由你掌舵，还有很多工作要做……
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 新共和国已成废墟……#可怕的命运降临在你身上。就在你的探索终于走到尽头，即将收获长期辛劳的果实之际，和平帝国联盟的梦想被夺走了。尽管星际委员会中的许多人渴望和谐与繁荣，并看到你注定要带领银河进入这样一个未来，但由于那些暴力狂不愿放弃他们对野蛮的原始需求，一场邪恶的叛乱开始了。你违背了自己的理想，率领新共和国的军队迎接了这个威胁。面对对方压倒性的力量，你无法取得胜利。#现在的银河系远比从前空虚，就像你骄傲而高贵的文明一样被彻底消灭。当你的敌人嘲笑你的原则软弱和理想主义时，你也知道历史对你的失败同样不会友好。剩下的人将在暴政和战争下颤抖，暴力将取代和平。在这场漫长而艰难的斗争中，这是你最不想要的结局，至少对你来说，故事已经走到了最不幸的尽头……

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 赛隆人对和平的强烈渴望
GAME_OVER_REBELLION_LOSS3         | 赛隆人的智慧超越了
