// 第1次校对：2021.12.18
// race-specific variables (must start with _)
_empire                           | 猫族部落, 普山部落, 喵族部落, 爪族部落, 西山部落
GAME_OVER_MILITARY_WIN2           | 银河系的宝藏将由你支配！#在这个夜晚，你们母星的整个地表都爆发出欢呼声，庆祝你们至高无上的胜利。因为这个夜晚是新时代的第一个夜晚，从今往后，只有猫族汗国统治着银河系。一开始你们只是为了战利品和荣誉而战，逐渐地，这变成了一场跨越无数行星、恒星和整个银河系的大规模战争。面对所有的挑战者，你破除了一切困难。敌人们在你的力量下陷入毁灭。#随着弱小的敌人们一个个倒下，你的人民发现自己不再需要盟友。你已经占领反对者们的最后一个据点，从今往后，你不再需要忍受无聊的政治纠葛和外交纠纷，整个银河系的财富都等待着你。当银河系已经在你的掌控之下，更深的深空中的敌人们将陷入恐惧。他们会因为你的到来而颤抖，他们的财宝也将属于你，不管付出任何代价……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 银河系的宝藏将由你和你的盟友支配！#你的进攻终于产出了价值无限的丰厚的果实。从你最开始进行外交工作后，你就意识到：你那骄傲的文化传统不可能与那些无力守护自己财富的弱者们共存。你知道战争是不可避免的。但令人惊讶的是，你不只在深空中发现了那些有能力捍卫自己财富的种族，你还想增加他们金库里的宝物数量。#你和你的盟友们发动了一场伟大的战争，若干年后人们也会提起这场传奇的战役。你们一起战斗，一起瓜分战利品。随着你们的敌人横尸于你们通往未来的道路，你们只需要考虑如何分配那丰富的战利品。但有一个提醒，黄金可汗：不管你的朋友在你身边如何英勇地战斗，如果一个人天性就想要争夺战利品，当他们没有敌人可以征服时，他们的眼睛会转向自己的朋友……
GAME_OVER_COUNCIL_LOSS2           | 你的进攻、你的生活方式，来到了一个突然的终点……#对你们种族文化的最大威胁终于成为了现实。经过了无数年的太空探索和征服后，组成这个银河系的各个帝国决定放下过去的成见，并成立一个团结一致的政权，名为“新共和国”。每一个新的时代都需要一个新的领导者，星际委员会也选择了一个新的领导者来进入这个新时代。遗憾的是，他们并没有选择你。#尽管你在外交工作上竭尽所能，和谐共处并不是你们种族的生存法则。你们在过去制造了太多的袭击，受害者的旧伤是你们在星际委员会上的污点。随着各个国家的一体化，你不得不承认一个铁一般的事实 ：你们对战利品和军功的追求永远地结束了。你的人民必须适应这个新的时代，否则等待你们的只有灭亡……
GAME_OVER_REBELLION_LOSS2         | 你珍贵的宝藏将被人夺走……#你们掠夺这个拥有奇妙宝藏的银河系的日子已经结束。随着新共和国的形成，随着银河系在[leader_race]种族的旗帜下的统一，你知道如果你不反抗这个误入歧途的新时代，你神圣的种族文化将注定要失败。但是，无论是出于盲目服从他们的新主人，还是害怕猫族在整个银河系赢得的声望，没有人加入你们的叛乱，你们独自陷入苦战。#你的对手们知道他们无法单独与猫族的军队作战并取得胜利，他们选择集中资源和舰队，并肩对抗你的叛乱。尽管你们以传奇般的坚韧战斗着，在整个银河系中激起了恐惧，但你们无法战胜新共和国的联合力量。现在你的叛乱以最不幸的方式结束，胜利者将瓜分属于你们的宝藏……
GAME_OVER_REBELLION_WIN2          | 这个宇宙的宝藏将由你支配！#汗国的时代终于开始了。从你涉足未知星系的一开始，你就遇到了别的太空文明，他们在星海中寻找自己的目标。然而，尽管他们拥有先进的文化和技术，但现在所有人都在你和你无与伦比的力量面前倒下了。最初，你非常满足于让这些文明照常存在，为你的人民提供无尽的宝藏来源。但是，当他们决定组建一个新的共和国，你的人民将不再能够按照自己的方式生活时，你采取了唯一合适的回应。#凭借你的狡猾、技巧和坚韧，你对抗着新共和国的舰队，最终，你对新银河秩序的反抗以完全和彻底的胜利告终。无数世界的战利品等待着你的攫取，因为守卫他们的敌人已经被彻底消灭。去拿走这些宝物吧，黄金可汗！把他们添加到你的宝库中，并让你的人民做好准备，迎接位于遥远星系中的战利品……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 银河系的宝藏将由你和你的盟友支配！#举起旗帜反抗新共和国是一个简单的决定。你知道银河系很少考虑你的人民和他们的生活方式。你的军事实力和你袭击敌对帝国的的故事已经传遍整个银河系，你知道，一旦形成一个统一的共和国秩序，你会遭遇无法逾越的障碍。就像古代传说中的真正领袖一样，你的行动比其他人预料的要快，你选择在公开战争中对抗新共和国。当你选择反抗时，你没有给他们准备的时间。#令你高兴的是，你发现其他人也对新共和国的形式不满意。为了换取这部分人的支持，你建立了一个新的联盟，许诺他们可以获得一部分战利品，让他们抵抗你面对新共和国的力量。如今，你的对手已被彻底消灭，如果你的盟友对你不再有用，他们将毫无机会对抗你的力量。现在你需要做的，就是夺取你已经为之奋斗了那么久的东西……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 至少在这个新时代，你的宝藏是安全的……#银河委员会看不到你的伟大并拒绝授予你领导新共和国的权力，这让任何人都感到震惊。你对其他帝国的进攻让你的人民不受欢迎，很少有人愿意接受你们的种族文化，真正去理解你的人民。但是，无论是因为天真还是因为你帮助了他们的事业，[leader_race]种族愿意发现与你们之间的共同点。接受他们作为未来的领导者，在你看来可能是对你们人民的最好的选择。#因为[leader_race]作为盟友的慷慨，现在，你能够确保你的战利品是安全的。你无需向那些过去被你劫掠的人支付赔偿金。在促成最终和平的过程中，你不情愿地同意结束你的劫掠。你现在必须探索新的途径来满足你人民的欲望。但这肯定比选择反抗你的盟友而面临毁灭更好……
GAME_OVER_COUNCIL_WIN2            | 银河系的宝藏将由你支配！#你们历史上最伟大的一天终于到来了：黄金可汗成为了新共和国的主人。从一开始，你们的人民就以暴力袭击而闻名。尽管过去曾出现过许多次对你的抗议，但当银河委员会认识到你不可逾越的力量时，所有的声音都沉默了。当然，一些选举你的帝国希望成为你真正的朋友，但你知道，对你做出支持姿态的大多数人是因为害怕你。而且你不会接受除了亲自领导共和国之外的其他结果。#从今天起，新共和国的所有成员都将向你臣服。试图在委员会中反对你的帝国，将承受他们罪行的恶果。当你选择对他们发动攻击时，他们将无法集合起必要的力量做出反抗。银河系属于猫族，它将永远属于你，直到时间的尽头。新时代万岁，黄金可汗万岁！
GAME_OVER_COUNCIL_MILITARY_WIN2   | 银河系的宝藏将由你和你的盟友支配！#现在你的辉煌统治可以真正开始了。你在战场上的实力和你那令人胆寒的突袭，使你成为新共和国的主人。但是，尽管许多人因为害怕激起你的愤怒而选择按照你的意志行事，但仍有一些人太过愚蠢，他们没有在你力量面前动摇。你的人民怀着对叛乱者宝藏的向往，涌入了镇压叛乱的战斗中。这一次，你还得到了整个共和国联合军队的支持。#在它真正开始之前，叛乱就结束了。反叛者的军队以最小的代价被击败。猫族夺取了他们的宝藏作为自己的战利品，并把不值钱的玩意儿扔给了为你服务的小帝国。当你不高兴时会发生什么结果，反叛者成为了一个案例，不会再有人胆敢效仿反叛者。你把注意力转向了其他星系，因为那里还有着无数的猎物、以及可以加入你宝库的珍贵宝藏……
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 你珍贵的宝藏将被人夺走……#虽然最初你能够用恐惧来粉碎对手的异议并成为新共和国的主人，但还是有一些勇敢的人站起来对抗你和你所设想的未来。你的人民骄傲而强大，装饰着无数战争的纪念品，你们渴望从另一场征服中获得更多的宝藏。但他们没有或看不到叛乱所代表的危险，而叛乱者所表现出的坚定勇气证明了你的失算：等待你们的是最终的结局。#尽管你的夸夸其谈让你能够调动整个新共和国的军队，但你仍然无法阻止叛乱者将你从王位上推下台。先是你的臣属国倒下了，随之而来的是你们自己。似乎银河系最终选择了一个没有你们的未来。毕竟，一个人的意志即使再强大，也无法对抗命运的铁腕……

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 猫族对宝藏的渴望
GAME_OVER_REBELLION_LOSS3         | 猫族无法抑制的贪婪统治了
