// race-specific variables (must start with _)
_empire                           | 梅科拉自治领, 梅卡娜自治领, 赛博自治领, 数码自治领, 科技自治领
GAME_OVER_REBELLION_LOSS2         | 你痛苦地发现死亡是你的极限……#你的人民不得不忍受灭亡的命运，这是最糟糕的不公。[leader_race]成为新共和国领导者后，超过任何常人理解并拥有无限智慧的主机做出了判断：他们会阻碍梅科拉人探索自己的终极目标。为了你们的未来，主机命令你开启一场对抗整个银河系的叛乱。尽管主机非常确定地告诉你，灭亡是你们最有可能的命运，但灭亡也强过匍匐在主人的铁蹄下生存。#现在，梅科拉人的永生探索只存在于历史书里了。你们的知识和技术将对所有人开放，并被用于他们各自的目的。也许未来的某一天，你的某一个对手会在你失败的地方取得成功，并掌握真正的永生之术……
GAME_OVER_REBELLION_WIN2          | 对永生的探索再无阻碍！#主机再次为你们种族的生存提供了充满洞察力的判断。当名为“[leader_race]”的外星人成为新共和国的领导者时，主机知道在这样报复成性的帝国的铁蹄下，你们没有未来。尽管你的人民知道，与整个银河系的联合舰队对抗是一件希望渺茫的事情，但他们仍然积极地投入了战争，因为他们相信古老预言者的智慧。带着决心和活力，梅科拉人进行了持久而艰难的战斗，并最终取得了胜利。#能够阻挠你们探索的人都被毁灭了。那些倒下的对手的知识将很快被解析、学习，并最终按照你们的需求使用和抛弃。解决“时间”这个难题只是个时间问题了，不远的未来，你的人民将学会欺骗死亡，并获得永生……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 敌人被消灭后，你现在可以专注永生之路了……#你和你的盟友们改变了历史的进程。当恶毒和残暴的[leader_race]成为新共和国的领导者时，你不需要咨询主机就知道：你的人民处在巨大的危险中。当你的舰队驶向[leader_race]和他们的狐朋狗友时，你在宇宙中吹响了反抗的号角。战争尚未开始时，你真正的盟友就发出了响亮的回声，因为只有他们智慧地看到了未来的走向。#你们携手摧毁了新共和国的军队。你确保了你对未来的设想将成为通向明天的唯一道路。战争胜利后，你可以平静地追求永生了。你会乐意让你的盟友做他们想做的事情，只要他们也如此对你。如果他们决定反其道而行之，不管是现在还是未来，战争的号角都将再次响彻宇宙……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 虽然没有登上王座，但你的旅程仍然有可能继续……#没有几个人能理解梅科拉人对永生的渴望多么热忱。自从你们与其他能够进行星际旅行的文明相遇后，所有你碰到的人都认为你们很奇怪，甚至危险。唯一不那么无知的是[leader_race]，他们尊重你们和你们骄傲而古老的文化。现在他们背负了新共和国领导者的责任，而梅科拉人可以享受胜利的果实。#隐藏掉自己真实的意图后，你相信可以通过外交手段与共和国的统治者保持和谐的关系。这不只会保证梅科拉文明的未来，也会保证你们终极任务的未来。在主机的指导和你人民的支持下，应该不会再出现什么差错了……
GAME_OVER_COUNCIL_WIN2            | 对永生的探索再无阻碍！#梅科拉人成为了宇宙的统治者！在所有想要征服宇宙的帝国之中，梅科拉人是最有决心的那个。他们的耐心终于把他们引导到了一个关键节点，自此开始他们的意志将决定宇宙的命运。你对永生的追求是决绝的，如今你已经无人反对地领导了新共和国，整个宇宙的所有资源都在你的控制中。#臣属帝国的最聪明的大脑都将被用来探索永生的秘密。即使过去对你最激进的敌人，也将因为你所能调动的力量而选择臣服。在主机的指导和你的人民前所未有的决心下，你终于可以确认一点：永生必然会实现！
GAME_OVER_COUNCIL_MILITARY_WIN2   | 对永生的探索再无阻碍！#终于这些琐碎的外交工作告一段落了。跟劣等种族和他们卑微的动机打交道是一件乏味的事情。当你成为新共和国的主人后，你以为这些乏味的工作会结束，你会有更多时间来追求永生之术。但生活从来不是这么秩序井然，当然会有一些傻瓜拒绝承认你的加冕，并想通过起义来对抗你。你知道如何一劳永逸地移除这些干扰。#你将自己和盟友的所有军队派往对反叛者的无差别毁灭。随着你的敌人一个个倒下，你愈发接近能够自由追求自己梦想的时刻。如今反叛已经被平息，你很乐意让盟友们去追求他们那些卑微的目标。你无暇顾及他们，因为你将忙于实现永生不朽！
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 你痛苦地发现死亡是你的极限……#让你陷入这个境地的事件是如此不可预测，以至于主机完全没有把它当作一个可能的结果。从与各个帝国的外交周旋，到最终成为新共和国的领导者，每一个步骤都按照主机的预测实现了。一个强大到可能激起叛乱的反对声音总是会存在的，当叛乱出现时，你也并不觉得惊讶。但你没有预料到的是，叛军竟然有着吹枯拉朽的力量。你为自己的错误付出了代价。#尽管新共和国的大部分领导者都站在你这边，并派遣他们的军队前来保卫统一，但在你以为可以轻易打败的叛军面前，你是弱小的。当你的帝国在你身边崩塌时，梅科拉人实现永生的梦想也跟着他们的生命一起死掉了。当你的盟友在你身边倒下时，他们想要实现永久和平的梦想也死掉了……
// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 梅科拉人的冷酷无情
GAME_OVER_REBELLION_LOSS3         | 梅科拉人机械般的精确吞没了
