// 第1次校对：2021.12.15

// race-specific variables (must start with _)
_empire                           | 幽灵国, 萨洛克斯, 斯派洛克, 沙德洛克斯, 纳兹洛克
GAME_OVER_REBELLION_LOSS2         | 你的追求结束了，你的种族结束了……#自从你到达这个不受欢迎的位面以来，运气从未眷顾过你的人民。当你被抛到一个你的计谋都无法正常运行的维度时，它对你就是不利的。当这个宇宙的本地居民投票反对你领导新共和国时，这对你也是不利的。而现在，在所有事情的最后，当你与对手作战时，你不仅要获得银河系的领导权，而且要确保你的生存，这对你更是不利的。#你的人民顽强、强大、坚定，但他们为了胜利付出的努力和决心仍然不足以对抗新共和国强大的军队。你的勇敢值得纪念：没有人可以否认这点。但是当你的最后一支军队和你的星球落入敌人手中时，你破碎的帝国被打败了，你们很快就会被遗忘……
GAME_OVER_REBELLION_WIN2          | 第一阶段结束，真正的考验开始了……#现在这些低等蠢货终于看到了你的力量，你的力量释放了出来！你的敌人徒劳地试图阻止你，他们使用一切阴谋诡计，阻止你将被困的族人从他们的厄运中解救出来。从威胁到间谍活动到公开的敌意，当他们投票反对你领导新共和国时，他们对你的阻碍达到了顶峰，尽管你是最值得领导新共和国的人。你几乎没有选择，毫无愧疚地，你向他们释放了可怕的愤怒，这终于让你的人民能在未来的宇宙中占据主导地位。#现在这个星系是你的，虽然只是暂时的。但你的家乡位面崩溃之前留下来的族人，命运比死还要惨，至少现在这个空间已经没有人反对你了。现在这些低等的傻瓜终于看到了你爆发的力量和意志！也许他们会看到吧，如果他们中的任何一个能活下来的话……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 第一阶段结束，真正的考验开始了……#从一开始你就知道这个星系的居民不会接受你领导一个统一的帝国联盟。他们既不诚实和也不信任你，居住在这个位面的本土帝国竭尽全力挫败你的计划，并在新共和国成立时兴高采烈地投票反对你。但你很聪明，很狡猾，你看穿他们的阴谋就像阅读一页纸上的文字一样容易。你的外交努力只集中在那些最值得站在你身边的人身上。当你的敌人认为他们陷害你的时刻到来时，他们发现自己陷入了一个早已存在的陷阱。#现在你和你的盟友取得了最终的胜利。银河系的命运掌握在你的手中，因为你可以自由地找到一种方法，让你滞留的亲属跨越位面障碍，进入一个成熟的新宇宙。如果你选为盟友的人妨碍你实现你的目标，你会像对待其他人一样果断地对待他们……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 第一阶段结束，真正的考验开始了……#很久以前，你们的一小部分人从他们垂死的宇宙中被扔出来，被推入了这个新的位面。当你开始寻找方法将那些滞留的人带到这个新的稳定的星系时，你与那些已经居住在这些恒星中的人的相遇很快告诉你，在你进行着持久的战争时，你将无法找到你想要的答案。于是，你试图在阴影中操纵历史进程，现在这些计划终于实现了。#[leader_race]种族已经掌握了新共和国，他们已经证明了自己的可塑性，他们接受你的设计和你的参谋。作为知己和顾问，你的人民处于独特的位置，可以在你的盟友的领导下掌控宇宙本身的力量。如果事情失败，因为你与权力相距甚远，你不会感受到强烈的反对。如果你成功了，你失散已久的族人的到来将给你足够的力量，让你足以开始一个新的时代，甚至获得压倒性的优势……
GAME_OVER_COUNCIL_WIN2            | 第一阶段结束，真正的考验开始了……#当你作为新共和国的领袖开始统治时，议会厅爆发出欢呼声。你谦卑地接受星际委员会赋予你的管理职责，你知道这是一个长期制定的计划的结果。在你们的人民抵达这个位面并了解它的奥秘后不久，你们就知道，单靠你们是不可能找到解决方法的。让你们被困的兄弟姐妹们能够在他们的宇宙完全崩溃之前踏上通往这个位面的旅程，并不容易。现在，经过多年的外交和政治操纵，你快要达到目标了。#现在，这个星系是你的，你可以塑造和引导你认为最好的路线。你很快就会利用你盟友的技术、力量和创新来帮助你打开一个通往家园的大门，并与尽可能多的人一起在这里重建你的文明。如果有人敢于阻止你，你现在有了新共和国的军队来一劳永逸地粉碎他们的异议……
GAME_OVER_COUNCIL_MILITARY_WIN2   | 第一阶段结束，真正的考验开始了……#现在你对这个星系的统治得到了证明。在无数年操纵星际对手以帮助你实现目标后，你的计划终于在你获得“新共和国之主”的称号后实现了。当持不同政见者的声音反对你时，你已经制定了行动计划，使你能够果断地平息叛乱。你战斗，然后你赢了，现在整个银河系都由你支配。#当你的敌人化为尘土并散落在风中时，你将注意力转向你的真正目标：找到一种方法，让你族人跨越次元鸿沟，进入这个新的稳定的宇宙，在这里你的帝国可以重生。在看到那些愚蠢的反对你的人的命运后，现在没有人再敢反对你了……
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 你的追求结束了，你的种族结束了……#你人民所能经历的最悲惨的命运变成了现实。你无与伦比的诡计和操纵能力被劣等物种挫败了，他们无法理解你试图完成的伟大工作。尽管你成功地完成了成为银河系民选统治者的艰巨任务，同时仍然对你的真正目标保密，但你无法压制迅速兴起的叛乱。#现在去引导银河系的未来对你来说为时已晚了。叛乱使新共和国成为一片废墟。幽灵族人的失败，注定了那些无法逃脱家园宇宙的族人的命运。你的失败同样决定了你帝国的命运，不是一个帝国，而是两个帝国，你的任何敌人都无法理解这其中的意义……

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 幽灵族不为人知的阴谋
GAME_OVER_REBELLION_LOSS3         | 幽灵族偷偷地抓住了
