// race-specific variables (must start with _)
_empire                           | 蚁族巢穴, 克拉肯巢穴, 克洛克巢穴, 节肢族巢穴, 鞘翅族巢穴
TECH_ALLOCATE_TERRAFORM           | 我是否应该提高各个殖民地的生态开支占比，以开始行星的生态改造呢？

NOTICE_ESPIONAGE_TITLE            | 我已经潜入了[alien_race]的导弹基地。
NOTICE_ESPIONAGE_FRAME_TITLE      | 我成功把盗窃行动栽赃给了另一个种族。

SHIP_COMBAT_TITLE_DESC            | 我碰到另一个充满敌意的[alien_race]舰队。

SABOTAGE_FACTORIES_RESULT         | 我毁灭了%1个工厂。
SABOTAGE_BASES_RESULT             | 我毁灭了%1个导弹基地。
SABOTAGE_REBELS_RESULT            | 我教唆了%1个叛徒。
SABOTAGE_REBELS_TOTAL             | 我教唆了%1个叛徒，不满意程度为%2。
SABOTAGE_REBELS_REVOLT            | 我成功制造了一场起义。

COUNCIL_CAST_PROMPT               | 我需要选择(%1票)……

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | 你遭遇了可怕的命运。#在你的未知之旅开始时，你进入太空，希望找到另一个和你一样独特的生命形式。不幸的是，直到你临终的那一天，你的梦想仍未实现。你发现的其他智能生命形式不仅与你完全不同，而且他们还充斥着暴力和冷漠。那种暴力摧毁了你的希望，从你们第一次见面的那一刻起，你所有的世界就开始掌握在那些恨你的人手中。#从你的家园到你最远的殖民地，你的每一个身体都被杀掉，冰冷冷地倒在地上。当你最后的肉体失去了眼中最后的光线时，你意识到宇宙即将失去一个独一无二的生命形态……
GAME_OVER_MILITARY_WIN2           | 您的探索已经结束了，暂时地。#带着巨大的期待，你梦想着太空深处的某个地方找到另一个像你一样的意识。尽管你遇到了许多高级的智慧形态，但他们都不具备你身上独一无二的特质。更糟糕的是，出于无法理解的恐惧，他们攻击了你，招致了你和你无限躯体的可怕的回应。你怀着沉重的心情将他们击倒，并发现自己将成为宇宙中唯一的智慧生命。#然而，你并不是一无所获。尽管这些具备独立个体意识的外星种族并不符合你的研究目的，你也很快意识到自己还有一整个宇宙等待你的探索。接下来你要做的，就是蔓延到宇宙的每一个角落，并继续你的求索……
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 您的探索已经结束了，暂时地。#你对你被迫采取的行动感到无尽的悲伤。你想在这个星系里寻找亲友，但你却碰到了一群无知的生物，他们猛烈地抨击你，因为你与他们完全不同。当他们的话语变成暴力行为时，你只能攻击他们以捍卫自己的利益。你一直希望他们能看到自己的错误，并接受你这种独特的生命形式。你的希望破灭了，因为那些对你使用暴力的人都永远地沉默了。#但庆幸吧，尽管你无法找到与自己相似的生命形态，但在旅程结束之前你建立了值得信赖的盟友关系。奇怪的是，他们以友善的方式对待你，就像你友善地对待他们。如果那种想知道自己在宇宙这种是否独一无二的渴望再次袭来，你可以随时前往其他星系。但现在，你可以放松下来，享受已经找到的陪伴，并享受它将带来的一切好处。
GAME_OVER_COUNCIL_LOSS2           | 您的探索已经结束了，暂时地。#这不是你在星海中寻找亲友的旅程所期待的结局。虽然你在寻找的过程中遇到了许多奇怪而奇妙的种族，但你也遇到了许多卑鄙的、脾气暴躁的文明。唉，你遇到的最令人难以忍受的种族现在是新共和国的领导。你怀疑这位新领袖是否会善待你，而你的恐惧来源于过去你与这位外星领袖的交流。#你所希望的只是找到另一个和你一样独特的生命。现在你只能臣服于更强大的权力。你只能祈祷[leader_name]与你相安无事，因为如果他们不这样做，整个银河系的力量都会与你为敌……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 您的探索已经结束了，暂时地。#蚁族的新时代即将开始，你可信赖的朋友[leader_name]现在准备带领新共和国迈向辉煌的未来。尽管在许多方面与你不同，但你的朋友对你充满兴趣和同理心。你信任他们，你相信可以在新联盟的工作完成后继续你的探索。如此不同的物种要实现和谐共处需要很多时间，但你知道%8会看到它。#你只能对这个结果感到满足。无论如何，你从来都不在意错综复杂的政治权术，并且很高兴你的朋友永远从你的肩上卸下这样的负担。你所希望的只是在这个银河系的某个地方找到一个像你一样的灵魂。也许，有一天，你很可能会找到……
GAME_OVER_REBELLION_LOSS2         | 你遭遇了可怕的命运。#在你旅途的起点，你是孤独的，在你旅途的终点，你还是孤独的。从遇见一个陌生的文明，到遇见另一个陌生的文明，你始终无法找到你求索的目标。直到那些比你更有远见的种族组建了新共和国。当[leader_name]成为新共和国的领导时，你感到你的使命会提前结束，于是你选择与这种命运抗争，而不是温顺地屈服于它。这不是你在旅途中犯下的第一个错误，但不幸的是，它被证明是你的最后一个错误。#现在，当%8整个银河系，你默默地思考着并意识到，至少在死亡时，你的忧虑结束了。如果你能找到另一个像你一样的生命，或者至少了解你是谁的人，也许你们会一起拿起武器，而你的命运会随之改变……
GAME_OVER_REBELLION_WIN2          | 你的探索已经结束了，暂时地。#银河系事与愿违地给你展示了它最坏的一面，还强迫你去接受它。你无法忍受排外主义者[leader_name]的领导，于是你拿起武器，捍卫你自己和你的追求，免受他们可怕的统治。你知道那些被二流暴君操纵的人，很可能会与你作对，但没有什么能阻止你的追求。所以，你带着悲伤的心情粉碎了所有反对你的人。#如果这些种族中有任何一个没有屈服于对未知事物的恐惧和仇恨，也许他们本可以与你和平共处。但这并不是一个完全的坏事，因为至少你会有一个悲剧可以与你想要找到的生命分享，如果你能找到这个生命的话……
GAME_OVER_REBEL_ALLIANCE_WIN2     | 你的探索已经结束了，暂时地。#第一次星际委员会之后，你就知道这一切会发生。尽管你已经警告了银河系中的其他帝国，卑鄙的[leader_name]还是成功掌管了新共和国，他们卑鄙的仇外情绪将威胁整个银河系。你勇敢地与他们作战，银河系中的许多人决定与你作对，但你最终仍然成功地捍卫了自己的利益。#也许最开心的是，你在这场最后的战争中获得了朋友们的支持。他们聪明地看到了危险，也富有同情心地决定帮助你。你很高兴没有独自参加这场战斗。现在，你们可以真正实现和平共处，并一起分享这个银河系的恩赐。也许有一天，你会离开银河系，进入更深的深空，去寻找你找了很久的那个生命……
GAME_OVER_COUNCIL_WIN2            | 你的探索以意想不到的方式结束了。#自从你离开自己古老的家园去寻找像你一样的意识以来，你已经发现了很多。虽然你还没有实现那个梦想，但你从遇到的人那里获得的知识和友谊已经证明是一种甜蜜的恩赐。你的盟友不仅克服了对你的独特性的恐惧，而且还选举你为新共和国的领导者。一个你从未想过的未来摆在你面前，你会以十足的耐心和信任带领你的朋友走向未来#也许有一天你会再次开始你的探索，寻找一个像你一样的生命。不过，就目前而言，你还有很多工作要做，你的探索需要等到工作结束之后才能进行。当这些工作完成时，你可能会发现你最初的冲动大大减少了。毕竟，在你漫长的一生中，你第一次不再孤单。
GAME_OVER_COUNCIL_MILITARY_WIN2   | 你的搜索意外结束了。#现在，你的战斗终于结束了。在担任新共和国之主的职位后，你设法将这个星系中所有更高形式的生命都带到了友谊的桌子旁，直到一场仓促准备的叛乱形成。由于仇外心理和对你的恐惧，那些试图推翻你的人既无法理解你力量的深度，也无法理解你的盟友在保卫共和国时的愤怒。他们被粉碎了。和平将像水一样流过银河系，流入属于你的无数世界的海洋。#当叛军的领土被你和你的盟友瓜分时，你的思绪短暂地转向很久以前的过去。诚然，你从未找到自己想找到的东西，而且在多个层面上来说你都是孤独的。但你很高兴地意识到，有了你在旅途中结识的盟友，你将永远不再孤单。

GAME_OVER_COUNCIL_MILITARY_LOSS2  | 你遭遇了可怕的命运。#作为新共和国的主人，你想把银河系带向和平，这无可指摘。你想要把如此不同的种族团结到一起，这也无可指摘。但是尽管你尽了最大的努力，针对你的叛乱仍然被煽动了起来。你的王座被推翻，新共和国被粉碎了。你的盟友早已死去，也许在最后时刻，他们会后悔选择你来当领导者，以至于他们的王国不得不在眼前化为灰烬。#你最后的身体在他们为自己挖掘的藏身之处中等待着最后的命运。没有食物和水，他们的时间即将到头了。如果你能找到一个像你一样的生命，一个真正理解你的生命，并坚韧地与你并肩作战，事情会有不同的结局吗？也许吧。哎，然而，你永远不能知道了……

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 蚁族的孤注一掷
GAME_OVER_REBELLION_LOSS3         | 蚁族没有灵魂的大军控制了
