// race-specific variables (must start with _)
_empire                           | 翼族王国, 翼人王国, 鸟族王国, 羽族王国, 禽族王国
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 荣耀归于您和那些与您并肩作战的人！#您的荣誉不再受到质疑！作为翼族王国的尖塔王，您将您的人民引导到前所未见的外星世界，并将这些世界收入您的帝国版图中。您结成联盟，管理星际贸易，并对那些试图损害您崇高主权的人发动战争。当最后的战争开始，银河系分裂成您的盟友和与您的敌人时，您引导您的军队取得胜利，并向您的人民和您的盟友展示了无与伦比的优雅和高贵。#终局已经成为过去，因为这个宇宙中没有人会举起武器反对您。您和您的盟友将享受无人胆敢染指的战利品。未来的文化交流有望让所有人的生活大大丰富。愿和平统治长久，愿您的统治更长久，哦，高贵而睿智的尖塔之王！
GAME_OVER_COUNCIL_LOSS2           | 即使在最黑暗的时刻，您仍然保留了您的荣誉……#委员会中的傻瓜不知道他们做了什么。星际委员会没有给予应当属于您的统治权，而是决定任命[leader_race]领袖为新共和国的领袖。在不公平的谈判和令人反感的权力斗争面前，您的恳求和细心、您的外交专长、以及您对荣誉和文明原则的坚定坚持，最终化为乌有：您一无所有。#现在翼族必须为[leader_race]的规则做好准备。您和您的外交官比任何人都更清楚这个新时代将是多么的专制。而且您知道您将无力在不公面前发出您的声音，因为没人敢面对新共和国的联合舰队。只有时间能告诉您的人民如何在这个黯淡的未来继续生存。也许，当您离世以后，一个新的尖塔之王可能会坐上宇宙的王座……
GAME_OVER_REBELLION_LOSS2         | 即使在最黑暗的时刻，您仍然保留了您的荣誉……#悲伤在这一天胜利了，尖塔王。当您高举旗帜反抗由[leader_race]控制的新共和国的暴政时，您对正义和正直的信念让您坚定了对未来的决心。您希望有荣誉感的人能获胜，因为您知道没有人比高贵的翼族人更坚持正义。但灾难接踵而至，未来等待您的将是彻底的毁灭。#您族人的鬼魂肯定对您没有恶意，他们和您一样的想法。他们宁愿选择死亡，也不想生活在一个毫无荣誉感的宇宙。他们已经变成了鬼魂，尖塔王。当您文明的残垣断壁在您周围燃烧时，您意识到您很快也会变成一个幽灵，即便如此，您仍然选择坚决地面对命运…… 
GAME_OVER_REBELLION_WIN2          | 荣耀归于尖塔之王！荣耀归于王国！#您已经取得了最不可能的胜利！星际委员会首先否认了您应有的王权，然后嘲笑您认为只有尖塔王才能公正地统治新共和国的观点。您对手的联合舰队很快就兴高采烈地把他们的武器转向您，并投入他们认为将会速战速决的决战。但他们没有得到自己期望的胜利，你给他们带来的是厄运和绝望！#现在这个星系就在您的脚下，没有人敢于指责您的神圣统治权。您的人民免于生活在暴政的恐惧中，因为您作为领导者的能力赢得了他们永远的信任和爱。去吧，尖塔王！将王国扩张到星系的每一个角落。当您占领了所有在这里等待您的星球时，就是时候将您的帝国扩展到其他乞求您统治的星系了！
GAME_OVER_REBEL_ALLIANCE_WIN2     | 荣耀归于您和为您而战的人们！#您的人民对荣誉的坚定坚持，一直是它最大的力量。现在，帮助您的帝国免于毁灭的保证。当您开始反抗新共和国时，您遭到的只有组成这个新专制政权的人的嘲笑和蔑视。他们认为自己联合了起来对抗一个敌人，并且非常乐意参与将成为最后一场战争的决战。他们认为他们会与一个孤军奋战的敌人作战。他们错了。#令他们惊讶的是，您并不是独自发动战争。相反，您与朋友们站在一起，他们与您无懈可击的勇气和高贵产生共鸣。你们一起快速取得了胜利，您和盟友的旗帜很快在新共和国的世界中升起。现在剩下的就是共同享受胜利的战利品了，享受来之不易的和平与繁荣的果实。您帝国的未来一片光明，尖塔王：您和您的人民理所应当地享有这一切！
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 荣誉和狡猾帮您获得了胜利……#当您在宇宙中旅行时，您遇到了许多文明程度不同的种族。虽然他们粗鲁和直率的天性最初冒犯了您的精致感，但您在他们中的大多数人身上感受到了真正的个性。您知道您的职责是帮助这些相对落后的种族成为更精致的文明。随着时间的推移，很明显，他们永远不会直接接受傲慢的您的做法。但是您，耐心而狡猾的尖塔王，看到了一条新的路线，能够引导他们并塑造银河系的未来，并以达到你的目的。#通过帮助培养[leader_race]文明并与他们的领导人结盟，您能够帮助他们超越其他帝国的暴民，成为新共和国的统治者。随着这支的联合力量变得更加强大，您将扮演新统治者的心腹角色，并帮助确保您的价值观影响银河系的统治。一旦让这些人看到了光明，您所珍视的和平与高贵将最终实现。如果一切按照您的计划进行，至少是有这个机会的……
GAME_OVER_COUNCIL_WIN2            | 荣耀归于尖塔之王！荣耀归于王国！#现在终于到了您最美好的时刻！旧时代终于结束，让位于新的辉煌的未来！当新共和国的倡议第一次被带到星际委员会会议厅时，大家就开始了激烈的讨论，以决定谁最能领导这个光明的未来。但您，尖塔之王，您知道这是您生来就注定要完成的命运。#您的盟友热情地宣称您是唯一配得上这个职位的候选人。他们一再见证了您高贵的表现，您对荣誉的坚持，以及您一直表现出的正义感。最后，他们为支持您的加冕而战，现在您既是翼族王国的尖塔之王，又是新共和国的主人。您将独自绘制这个宇宙将遵循的路线，您将独自承担引导它沿着这条道路前进的责任。唯一需要回答的问题是，最睿智和最高贵的领导人，您将带领这个银河系走向怎样的未来？
GAME_OVER_COUNCIL_MILITARY_WIN2   | 荣耀归于您和与您并肩作战的人！#现在为您服务的人将不会怀疑您的荣誉和统治这个星系的神圣权利！您登上新共和国的宝座是必然的：没有其他统治者能比得上您所表现出的正义感和王者之气，也没有人能比得上您的人民对荣誉和真理的热爱。当叛乱在光荣的加冕日后不久爆发时，震惊和难以置信的声音传遍了帝国的每个角落。您果断地采取了作为新共和国之主的第一个行动，并在这场叛乱破坏您的统治之前采取了行动来粉碎它。不用说，您最终取得了胜利。#以高超的狡猾和高贵的姿态，您带领新共和国的联合舰队取得了一场又一场的胜利。随着每场战斗的胜利和每一个世界的征服，您的声望日隆，人民对您能力的信心也飙升到了高度，这巩固了您的王位。叛乱现在只是遥远的记忆。当您的盟友向您致以敬意并陶醉于这场共同的胜利中时，您将思绪转向了未来：还有怎样的奇迹和荣耀等待着您和您的人民……
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 即使在最黑暗的时刻，您仍然保留了您的荣誉……#领导新共和国是翼族王国的最高成就。当叛乱的谣言刚开始传出时，您认为最好不要让这种叛逆的思潮获得皇室的回应。但是随着叛乱规模的扩大以及敌对帝国向您宣战，您不得不考虑您之前的决定可能不是最明智的。事实证明，这导致您被野蛮人彻底打败，您领导下的新共和国迅速而决定性地倒下了。#这是您从未想象过的耻辱。您作为尖塔王的辉煌统治带领您走向权力的顶峰，但现在它已经结束了，因为您的敌人不仅在您的世界、而且在您盟友的世界上肆虐。如果您更加果断，也许您和您的人民的故事会有不同的结局。唉，尖塔之王，您永远不会知道会发生什么……

// This text is the %8 variable in some of the game over text... when this race wins the game and the player loses
GAME_OVER_ALLIANCE_WIN3           | 翼族人的坚定荣誉
GAME_OVER_REBELLION_LOSS3         | 翼族人的勇猛吞噬了
