// race-specific variables (must start with _)
_empire                           | Darlok, Sarlok, Spylok, Šadelok, Nazlok
MAIN_ADVISOR_MISSILE_BASES        | Príchodom do tohto vesmíru sme stratili príliš veľa a teraz môžme stratiť ešte viac: chránte naše kolónie pred nepriateľmi vybudovaním čo najväčšieho počtu obranných raketových základní.
MAIN_ADVISOR_SHIP_WEAPON          | Objavili sme novú technológiu, ktorá zlepšuje ofenzívne schopnosti našich lodí. Musíme sa opäť rozhodnúť, ako čo najlepšie upraviť návrhy našich lodí, aby sme ju mohli čo najskôr využiť.
MAIN_ADVISOR_COUNCIL              | Povráva sa, že sa čoskoro uskutoční zhromaždenie známe ako Galaktická rada. Naši špióni dúfajú, že ho využijú ako príležitosť na získanie všemožných informácií. Závisí od toho budúcnosť našej rasy!
MAIN_ADVISOR_REBELLION            | Stratili ľudia zo systému %1 rozum?! Zabúdajú, že v tomto vesmíre môžme zvíťaziť iba ak budeme držať pokope? Musíme ich ukážkovo potrestať, aby sa to už neopakovalo!
MAIN_ADVISOR_RESIST_COUNCIL       | Vždy sme vedeli, že naše šance na úspech v tejto dimenzií sú malé. Boj proti Galaktickej rade a jej spojencom naše šance príliš neznižuje.
MAIN_ADVISOR_COUNCIL_RESISTED     | Príliš dlho sme pracovali na tom, aby sme týchto hlupákov podriadili svojej vôli! Vzburu proti nášmu vedeniu nemôžeme tolerovať! Zničte ich do jedného!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Koniec vašej výpravy, koniec vášho ľudu...#Nepredstaviteľná tragédia postihla vašu ríšu. Vaša civilizácia sa zúfalo snažila odhaliť tajomstvo udalosti, ktorá vyhnala vašich predkov z ich umierajúceho vesmíru do tejto cudzej dimenzie, leží v úplnej skaze pod nohami obyvateľov oveľa mocnejších ako vy. Keby vedeli o vašom osude, možno by boli milosrdnejší, možno by vám dokonca poskytli pomoc alebo by boli aspoň tolerantnejší k prostriedkom, ktoré ste použili na dosiahnutie svojich cieľov. Namiesto toho ste dosiahli len predčasnú smrť svojho druhu. Nakoniec však iné sily pokračujú v pochode do budúcnosti, nech už im prinesie čokoľvek. Keby ste sa rozhodovali inak, váš ľud by možno ešte žil a možno by ste dokonca našli kľúč, ktorý by vám umožnil priviesť zvyšok vašej rasy do tejto novej, stabilnejšej dimenzií. Možno však vaše karty nemohli byť rozohrané lepšie: možno sa osud jednoducho rozhodol, že vám rozdá najnešťastnejšie karty...
GAME_OVER_MILITARY_WIN2           | Prvá fáza sa skončila, skutočná skúška sa začína...#Táto galaxia je tvoja! Tak ako tvoji ľudia ovládli vesmír, z ktorého prišli, aj ty si rozdrvil slabú opozíciu v tejto galaxii. Všetko, čo obsahuje, si vyhlásil za svoje. Taktika, ktorú ste použili, sa ukázala prisilná nato, aby ju vaši nepriatelia prekonali. Teraz, keď posledné pevnosti vašich nepriateľov padajú pod vašou silou, hľadíte na hviezdy, ktoré pokrývajú to, čo sa stane trvalým domovom Darlokov. Naučili ste sa žiť v tejto dimenzii a vytvorili ste celú galaxiu bezpečnú pre váš ľud. Aby ju mohol obývať a prosperovať. Tajomstvo interdimenzionálnej trhliny, ktorá sem vašu rasu priviedla však ešte stále nie je odhalené. Každý deň, ktorý tu uplynie, znamená, že váš domovský vesmír sa blíži k svojmu neodvratnému zániku. A ak by niektorá z ríš, ktoré ste zničili, už toto tajomstvo mala, vaše vojenské dobývanie sa vám môže stať osudným...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Prvá fáza skončila, začína sa skutočná skúška... # Teraz je hodina vášho prvého skutočného víťazstva! Keď boli vaši ľudia vrhnutí do tejto dimenzie, považovali ju za desivú, cudziu a nebezpečnú. Ale namiesto toho, aby sa skrčili a snažili sa prežiť, ako sa len dalo, odvážne sa vydali vpred. Sľúbili, že ovládnu tajomstvá tejto galaxie a zabezpečia ju, aby mohli priviesť zvyšok vašich ľudí z ich umierajúcej dimenzie. Cestou si získali nepriateľov aj priateľov a pripravili pôdu pre najväčšiu výzvu, akú kedy váš ľud spoznal. # Spolu so svojimi spojencami sa vám podarilo zneškodniť tých, ktorí by sa postavili proti vašim cieľom, a rozbiť ich o vaše flotily, ako sa príliv láme o breh. Teraz zostávaš len ty a tvoji blízki priatelia a vďaka príbuzenskému vzťahu, ktorý sa dá získať len spoločným víťazstvom vo vojne, budeš s radosťou pomáhať svojim spojencom v ich bremenách, rovnako ako oni budú pomáhať tebe v tvojich. A keď tvoj ľud bezpečne prekročí dimenzie a tvoja skutočná ríša sa znovu zrodí vo vesmíre, ktorý sa nepochybne stane tvojím, môžu žiť len tí, ktorí sa osvedčili ako verní tvojej veci...
GAME_OVER_COUNCIL_LOSS2           | Tvoje plány boli zmarené, tvoja výprava ohrozená...# Tvoje plány boli odhalené. Hoci nikto nemôže dúfať, že sa vyrovná tvojim schopnostiam v úskokoch, oči tvojich súperov sa ukázali byť príliš pozorné, aby si ich dokázal obísť. Pri kovaní Novej republiky a rozhodovaní o budúcnosti galaxie sa ukázalo, že hlasy tých, ktorí sú na pôde Rady, môžu vaše dobre pripravené plány narušiť. Budúcnosť patrí rase [leader_race_akuzativ]!# Pokus o získanie schopnosti riadiť chod galaxie bol ambicióznou stratégiou. Keby boli tvoje diplomatické machinácie jemnejšie a nenápadnejšie, je veľmi možné, že by sa celá vôľa galaxie dala nakloniť tak, aby slúžila tvojmu úsiliu. Teraz sa budeš musieť podriadiť vôli rasy [leader_race_akuzativ]. Avšak každý ďalší deň privádza tých, ktorí uviazli v kolabujúcom vesmíre, z ktorého pochádzaš, o deň bližšie k osudu, ktorý je strašnejší, než si dokážeš predstaviť...
GAME_OVER_REBELLION_LOSS2         | Koniec vašej výpravy, koniec vášho ľudu... #Šťastie nikdy neprialo vášmu ľudu od vášho príchodu do tejto nehostinnej dimenzie. Nebolo vám naklonené ani vtedy, keď ste boli vrhnutí do dimenzie, kde žiadna z vašich technológií nefungovala správne. Nebolo vám naklonené, keď pôvodní obyvatelia tejto galaxie hlasovali proti tomu, aby ste viedli Novú republiku. A teraz, na samom konci všetkého, vám nebola naklonená, keď ste útočili proti svojim súperom, aby ste si zabezpečili nielen vedenie galaxie, ale aj svoje prežitie.# Váš ľud bol húževnatý, silný a odhodlaný, ale jeho najväčšie úsilie a ochota zvíťaziť všetkými prostriedkami jednoducho nestačili na to, aby im zabezpečili víťazstvo proti ohromnej sile armád Novej republiky. Vaša odvaha je hodná spomienky: o tom nemôže nikto pochybovať. Ale keďže posledné vaše svety padli do rúk nepriateľov, leží vaše rozbité impérium porazené, zlomené a čoskoro aj zabudnuté...
GAME_OVER_REBELLION_WIN2          | Prvá fáza skončila, začína sa skutočná skúška... #Najmä títo podradní blázni vidia tvoju silu a vôľu! Márne sa ti tvoji nepriatelia snažili zabrániť v snahe oslobodiť svojich uviaznutých príbuzných od ich konečnej záhuby a použili všetky možné triky, aby ti zabránili. Od vyhrážok cez špionáž až po otvorené nepriateľstvo. Ich snaha zabrániť ti dosiahnuť cieľ dosiahla vrchol, keď hlasovali proti tomu, aby si viedol Novú republiku, hoci si bol na to najhodnejší. Nemajúc na výber a bez ťažkého svedomia pocítili ten istý hnev, ktorý priviedol tvoj ľud k úplnej nadvláde vo vesmíre, odkiaľ si prišiel. # Teraz je táto galaxia tvoja, no čas sa kráti, kým sa tvoja domovská dimenzia zrúti a tých čo tam zostali, postihne osud horší ako smrť. Nateraz v tejto dimenzii nezostal nikto, kto by sa ti postavil na odpor. Teraz konečne títo podradní hlupáci vidia tvoju moc a vôľu, ktorú sa rozpútal! Alebo by to aspoň urobili, keby niekto z nich zostal nažive, aby to mohol urobiť...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Prvá fáza sa skončila, skutočná skúška sa začína...#Od samého začiatku ste vedeli, že obyvatelia tejto galaxie vám nedôverujú nato, aby ste viedli zjednotenú alianciu vesmírnych impérií. Nečestné a nedôverčivé domorodé ríše, ktoré obývajú túto dimenziu, urobili všetko čo mohli, aby zmarili vaše plány. Radostne hlasovali proti vám, keď sa začala formovať Nová republika. Vy ste však múdry a prefíkaný a keď ste videli ich machinácie sústredili ste svoje diplomatické úsilie len na tých, ktorí boli hodní stáť po vašom boku. A keď prišiel čas, keď si vaši nepriatelia mysleli, že vás chytili do pasce, zistili, že sa ocitli v pasci, ktorá už dávno padla. # Teraz vy a vaši spojenci stojíte víťazne na popole tých, ktorí sa odvážili považovať sa za vašich premožiteľov. Osud galaxie je v vašich rukách, pretože môžete nájsť spôsob, ako priviesť svojich uviaznutých príbuzných cez dimenzionálne bariéry do nového vesmíru zrelého na ovládnutie. A ak by vám tí, ktorých ste si vybrali za spoločníkov, bránili v dosiahnutí vašich cieľov, vysporiadate sa s nimi rovnako rozhodne, ako ste sa vysporiadali s ostatnými...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Prvá fáza sa skončila, skutočná skúška sa začína...#Je to už dávno, čo malá skupina tvojich ľudí bola zo svojho umierajúceho vesmíru uvrhnutá do tejto novej a cudzej dimenzie. Keď ste začali hľadať spôsob, ako priviesť tých, ktorí uviazli na druhej strane, museli ste sa stretnúť s tými, ktorí už medzi týmito hviezdami prebývali. Tí vás rýchlo naučili, že odpovede, ktoré ste hľadali, nebudete môcť nájsť počas vedenia malicherných a zdĺhavých vojen. Namiesto toho ste sa snažili manipulovať s chodom dejín, zatiaľ čo ste boli zahalení v tieňoch. Teraz sa tieto plány konečne naplnili.#Rasa [leader_race_akuzativ] prevzala vládu nad Novou republikou a dokázala, že je poddajná a vnímavá voči vašim plánom a vašej rade. Ako dôverníci a poradcovia majú tvoji ľudia jedinečnú možnosť riadiť moc samotnej galaxie pod vedením vášho spojenca. Ste príliš vzdialení od priamej moci na to, aby ste niekedy pocítili spätnú reakciu v prípade, že by sa veci nepodarili. Ak uspejete, posilnenie vašich radov príchodom vašich dávno stratených príbuzných bude viac než dostatočné na to, aby sa začal nový vek a misky váh sa naklonili vo váš prospech...
GAME_OVER_COUNCIL_WIN2            | Prvá fáza sa skončila, teraz sa začína skutočná skúška...#Sála Rady vybuchla v radostných výkrikoch, keď si začal vládnuť ako Majster Novej republiky. Pokorne prijímate bremeno riadenia, ktoré vám udelili ríše tvoriace Galaktickú radu. S vedomím, že tento koniec bol výsledkom dlho pripravovaného plánu. Krátko po tom, ako tvoj ľud dorazil do tejto dimenzie a spoznal jej tajomstvá, si vedel, že nebude možné, aby si sám našiel spôsob, ako umožniť svojim uväzneným bratom a sestrám cestu do tejto dimenzie skôr, než sa ich vesmír úplne zrúti. Teraz, po rokoch diplomacie, utajovania a politickej manipulácie, už nemusíte.#Táto galaxia je teraz vaša a môžete ju formovať, modelovať a riadiť smerom, ktorý sa vám zdá najlepší. Už čoskoro využijete technológiu, silu a inovácie svojich spojencov, aby vám pomohli otvoriť portál do vášho domova a znovu tu vybudovať vašu civilizáciu s čo najväčším počtom vašich ľudí. A ak by sa vás niekto odvážil zastaviť, máte teraz k dispozícii armády Novej republiky, aby ste ich nesúhlas raz a navždy potlačili...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Prvá fáza sa skončila, teraz sa začína skutočná skúška... Teraz je vaša vláda nad touto galaxiou ospravedlnená slovom i skutkom. Po nespočetných rokoch manipulácie s medzihviezdnymi rivalmi, aby vám pomohli sa vaše plány konečne naplnili, keď ste získali titul Majster Novej republiky. Keď sa proti vám zdvihli hlasy vašich disidentov, už ste spustili plány v plánoch, ktoré vám umožnili vzburu potlačiť. Bojovali a vy ste vyhrali. Teraz je celá galaxia vaša a môžete si s ňou robiť, čo sa vám zapáči.#Svojich nepriateľov ste rozomleli na prach a rozptýlili na slnečných vetroch. Konečne môžte obrátiť pozornosť na svoj skutočný cieľ: nájsť spôsob, ako priviesť svoj odlúčený ľud cez dimenzionálnu priepasť do tohto nového a stabilného vesmíru. Nikto by sa teraz neodvážil vystúpiť proti vám, nie potom, čo videl, čo sa stalo tým, ktorí boli dosť hlúpi, aby tak urobili...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Koniec tvojej výpravy, koniec tvojho ľudu... Najsmutnejší osud, aký si mohol pre svoj ľud dosiahnuť, sa stal skutočnosťou. Tvoju bezkonkurenčnú schopnosť úskokov a manipulácie zmarili podradné druhy, ktoré nemohli dúfať, že pochopia veľké dielo, ktoré si sa snažil vykonať. Hoci sa ti podarilo splniť monumentálnu úlohu a stať sa zvoleným vládcom galaxie, pričom si stále zachovával tajomstvo, ktoré zahalovalo tvoje ciele, nedokázal si potlačiť vzburu, ktorá čoskoro povstala v ústrety tvojej rodiacej sa vláde. # Teraz je už príliš neskoro na to, aby si riadil budúcnosť galaxie cestou, ktorú považuješ za vhodnú. Povstanie zanechalo Novú republiku len ako ruiny, ktoré víťazi vyrabujú. Smrť Darlokov spečatila osud tých, ktorí zostali uväznení v odsúdenom vesmíre, z ktorého nemajú nádej uniknúť. Vaše zlyhanie spečatilo osud vášho impéria nie v jednom, ale v dvoch vesmíroch. A ako také je monumentálnejšie, než by ktokoľvek z vašich nepriateľov dokázal pochopiť...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | nepoznané machinácie Darlokov
GAME_OVER_REBELLION_LOSS3         | tienisté zovretie Darlokov chytá do pasce
